Channel,RMS,Sigma
0,7.02481755175125,2.5195808741020738
1,2.436475323194142,2.436475323194142
2,2.499264981390645,2.499264981390645
3,4.585053061943906,4.585053061943906
4,2.737887252987659,2.737887252987659
5,3.4639846769395213,3.4639846769395213
6,5.483071795529679,5.483071795529679
7,2.3850746348716747,2.3850746348716747
8,2.5769207519291557,2.5769207519291557
9,3.3671753527228563,3.3671753527228563
10,3.8481209844905786,3.8481209844905786
11,2.756430976367794,2.756430976367794
12,4.096636782627707,4.096636782627707
13,2.4318058703191614,2.4318058703191614
14,2.366837383006388,2.366837383006388
15,2.9257498021382053,2.9257498021382053
16,2.8538054673075304,2.8538054673075304
17,5.537438071120153,5.537438071120153
18,2.843870019541099,2.843870019541099
19,3.3083892456167745,3.3083892456167745
20,2.677864563587189,2.677864563587189
21,3.4827747476916247,3.4827747476916247
22,2.564419673660913,2.564419673660913
23,4.172933458462998,4.172933458462998
24,5.140245787263116,5.140245787263116
25,2.5739470575596743,2.5739470575596743
26,3.033111376482401,3.033111376482401
27,4.561470133132453,4.561470133132453
28,2.595856095853937,2.595856095853937
29,2.5505329460092714,2.5505329460092714
30,2.590032485115532,2.590032485115532
31,3.5669825231286216,3.5669825231286216
32,3.2428174014913838,3.2428174014913838
33,3.3172883341492847,3.3172883341492847
34,3.148897926031423,3.148897926031423
35,3.442572791775533,3.442572791775533
36,2.960375279135702,2.960375279135702
37,3.7871048160852125,3.7871048160852125
38,2.792172544714143,2.792172544714143
39,3.471002126894417,3.471002126894417
40,2.8576798597618316,2.8576798597618316
41,2.8922512136804124,2.8922512136804124
42,4.043320600545539,4.043320600545539
43,3.70078820155537,3.70078820155537
44,2.8532260178195425,2.8532260178195425
45,3.684798883039873,3.684798883039873
46,3.248963909595121,3.248963909595121
47,3.6624347026480852,3.6624347026480852
48,2.430399115214362,2.430399115214362
49,4.057753928076377,4.057753928076377
50,2.6231997275005803,2.6231997275005803
51,2.827683725026064,2.827683725026064
52,3.8247169942463195,3.8247169942463195
53,2.437785426085236,2.437785426085236
54,3.2246447847222437,3.2246447847222437
55,2.381075434682564,2.381075434682564
56,3.164614869989252,3.164614869989252
57,2.328573883732743,2.328573883732743
58,3.147206844021703,3.147206844021703
59,3.302127367324707,3.302127367324707
60,2.485760563227769,2.485760563227769
61,2.6634077893477466,2.6634077893477466
62,2.573292946589487,2.573292946589487
63,2.821094842540429,2.821094842540429
64,2.37429987493294,2.37429987493294
65,2.5550168380286484,2.5550168380286484
66,2.759405419384516,2.759405419384516
67,2.4642273259285346,2.4642273259285346
68,2.4065398155942743,2.4065398155942743
69,4.619065026395489,4.619065026395489
70,2.36143214812065,2.36143214812065
71,3.253923947574737,3.253923947574737
72,2.308494072255174,2.308494072255174
73,5.435893504590577,5.435893504590577
74,2.3467480407543917,2.3467480407543917
75,2.4032077654845865,2.4032077654845865
76,2.6708487358948725,2.6708487358948725
77,2.5571514401544633,2.5571514401544633
78,2.5787266146102095,2.5787266146102095
79,3.4607717905290216,3.4607717905290216
80,3.7113556652981803,3.7113556652981803
81,3.2801963407933763,3.2801963407933763
82,3.20425365776696,3.20425365776696
83,2.802029101457666,2.802029101457666
84,2.6491724112335575,2.6491724112335575
85,2.4807146883567883,2.4807146883567883
86,3.448423508073239,3.448423508073239
87,3.1313499288686026,3.1313499288686026
88,2.3423077457997348,2.3423077457997348
89,3.777501204146067,3.777501204146067
90,2.31892904827477,2.31892904827477
91,2.4296577114675024,2.4296577114675024
92,2.7797723959737346,2.7797723959737346
93,3.469533787164912,3.469533787164912
94,2.4989953052023672,2.4989953052023672
95,3.666209163622045,3.666209163622045
96,2.710579160672516,2.710579160672516
97,2.677100040186759,2.677100040186759
98,3.3558620305387783,3.3558620305387783
99,2.3243840925758277,2.3243840925758277
100,2.9952633708149707,2.9952633708149707
101,2.341683821517142,2.341683821517142
102,2.470476217294689,2.470476217294689
103,2.2020846766222486,2.2020846766222486
104,2.410829970830717,2.410829970830717
105,2.552794131950215,2.552794131950215
106,2.477678937661086,2.477678937661086
107,2.442368093732218,2.442368093732218
108,2.3725776583831424,2.3725776583831424
109,2.3183647439840622,2.3183647439840622
110,2.2648742720819834,2.2648742720819834
111,2.3011610600033006,2.3011610600033006
112,2.402853552425833,2.402853552425833
113,2.353830198183647,2.353830198183647
114,2.1896691212432566,2.1896691212432566
115,4.608639665848436,4.608639665848436
116,3.21227565115483,3.21227565115483
117,2.2493007506921114,2.2493007506921114
118,2.349467686838446,2.349467686838446
119,2.1847136460467924,2.1847136460467924
120,2.8809479682833934,2.8809479682833934
121,3.6269751804991657,3.6269751804991657
122,2.1760147834769623,2.1760147834769623
123,4.230391546153021,4.230391546153021
124,2.554711465644547,2.554711465644547
125,2.2219844814455234,2.2219844814455234
126,2.8809346108693625,2.8809346108693625
127,2.9783618875382354,2.9783618875382354
