Channel,RMS,Sigma
0,4.8541469101659445,4.8541469101659445
1,2.7017196198073834,2.7017196198073834
2,2.9440660943738424,2.9440660943738424
3,3.2072670532262633,3.2072670532262633
4,3.843761136557529,3.843761136557529
5,2.5658917507188614,2.5658917507188614
6,2.7961539426642332,2.7961539426642332
7,3.7458906189788754,3.7458906189788754
8,2.944803194673483,2.944803194673483
9,3.7094394005556683,3.7094394005556683
10,3.5288682440237054,3.5288682440237054
11,2.524325260264445,2.524325260264445
12,3.6909358932347622,3.6909358932347622
13,2.594417512615939,2.594417512615939
14,2.9261842734813333,2.9261842734813333
15,3.1807953267229454,3.1807953267229454
16,2.607642961674026,2.607642961674026
17,4.185850088889435,4.185850088889435
18,2.635680569104284,2.635680569104284
19,4.175050705760035,4.175050705760035
20,2.5896273343469054,2.5896273343469054
21,3.7844165254394033,3.7844165254394033
22,2.9167353214999276,2.9167353214999276
23,2.687726904127703,2.687726904127703
24,3.94660532658002,3.94660532658002
25,2.8034793509938645,2.8034793509938645
26,3.6364466052629996,3.6364466052629996
27,2.93106093198961,2.93106093198961
28,2.9811664342941895,2.9811664342941895
29,2.8748840970809693,2.8748840970809693
30,2.8418395830728955,2.8418395830728955
31,3.440745317944906,3.440745317944906
32,4.406311333939338,4.406311333939338
33,3.6003816413261918,3.6003816413261918
34,2.6432926286339216,2.6432926286339216
35,2.5582636442840423,2.5582636442840423
36,2.387801815381668,2.387801815381668
37,3.995546230813099,3.995546230813099
38,2.7933139730029177,2.7933139730029177
39,3.202375716538476,3.202375716538476
40,2.810883108347365,2.810883108347365
41,4.8960915464747155,4.8960915464747155
42,3.0700468914604624,3.0700468914604624
43,2.7078619923917335,2.7078619923917335
44,3.33749302256711,3.33749302256711
45,3.3621986458608006,3.3621986458608006
46,2.4972242587288656,2.4972242587288656
47,2.4136070137357546,2.4136070137357546
48,3.299066032953444,3.299066032953444
49,5.950942183774853,5.950942183774853
50,2.154216033521656,2.154216033521656
51,2.7728611377713004,2.7728611377713004
52,2.261003966034384,2.261003966034384
53,2.2086649157134772,2.2086649157134772
54,2.11438015035958,2.11438015035958
55,2.5921480554729124,2.5921480554729124
56,2.2979850162551987,2.2979850162551987
57,2.314813034058306,2.314813034058306
58,2.1830840632128368,2.1830840632128368
59,2.2948632246365666,2.2948632246365666
60,2.791524635513099,2.791524635513099
61,2.435032505281082,2.435032505281082
62,2.547602686181021,2.547602686181021
63,5.560118735904024,5.560118735904024
64,2.2205025669368013,2.2205025669368013
65,3.5804029963349735,3.5804029963349735
66,4.0149735678125165,4.0149735678125165
67,2.9043276052412774,2.9043276052412774
68,2.894159248772502,2.894159248772502
69,3.6855283919591955,3.6855283919591955
70,3.2775764898932365,3.2775764898932365
71,2.173017001728636,2.173017001728636
72,2.2429334270572086,2.2429334270572086
73,3.590030125652612,3.590030125652612
74,2.2919161620557635,2.2919161620557635
75,2.245411076937885,2.245411076937885
76,2.274184630199638,2.274184630199638
77,3.1035348267765137,3.1035348267765137
78,2.3168473634014797,2.3168473634014797
79,2.353279248776245,2.353279248776245
80,3.5912500792088378,3.5912500792088378
81,3.224855973994802,3.224855973994802
82,2.968526829746993,2.968526829746993
83,3.3076342079103287,3.3076342079103287
84,2.751184876956597,2.751184876956597
85,3.0282159569169367,3.0282159569169367
86,2.6820845513310254,2.6820845513310254
87,2.3350595294284617,2.3350595294284617
88,2.3396000437721605,2.3396000437721605
89,2.1788613922137254,2.1788613922137254
90,2.286895655548492,2.286895655548492
91,2.4422033010415243,2.4422033010415243
92,3.1024195554273106,3.1024195554273106
93,2.4737925257839932,2.4737925257839932
94,3.718727221956903,3.718727221956903
95,2.5472763047417257,2.5472763047417257
96,2.347633795855972,2.347633795855972
97,2.649223844613286,2.649223844613286
98,2.489266283164634,2.489266283164634
99,4.450474240373797,4.450474240373797
100,2.5021279048799787,2.5021279048799787
101,2.6831953862027746,2.6831953862027746
102,2.425962141919602,2.425962141919602
103,3.292057560111492,3.292057560111492
104,2.4543487839698006,2.4543487839698006
105,2.524917161498166,2.524917161498166
106,2.603176078476646,2.603176078476646
107,3.252053955535657,3.252053955535657
108,2.769464716111463,2.769464716111463
109,2.636067007240036,2.636067007240036
110,3.4569227081020926,3.4569227081020926
111,4.084359059383334,4.084359059383334
112,2.6729218573104805,2.6729218573104805
113,2.211089919908817,2.211089919908817
114,2.7180205640230626,2.7180205640230626
115,2.8576580677144414,2.8576580677144414
116,2.4829376680546096,2.4829376680546096
117,2.3654313519852854,2.3654313519852854
118,2.1244334400881995,2.1244334400881995
119,2.0950630149228378,2.0950630149228378
120,4.306218862511187,4.306218862511187
121,2.117397772111936,2.117397772111936
122,2.6234388405715143,2.6234388405715143
123,2.178805397052025,2.178805397052025
124,2.3312609105174595,2.3312609105174595
125,4.498584134026404,4.498584134026404
126,2.7330730364405413,2.7330730364405413
127,2.5115255188190666,2.5115255188190666
