Channel,RMS,Sigma
0,6.863680517317454,2.208308212881115
1,2.241525400839507,2.241525400839507
2,2.2023022268653527,2.2023022268653527
3,2.263354281748464,2.263354281748464
4,2.2189824059909533,2.2189824059909533
5,2.246459735695953,2.246459735695953
6,2.207200046982975,2.207200046982975
7,2.2180618766610984,2.2180618766610984
8,2.246699808501749,2.246699808501749
9,2.2234301473017672,2.2234301473017672
10,2.1962620084160185,2.1962620084160185
11,2.208388296621604,2.208388296621604
12,2.183933438963783,2.183933438963783
13,2.2308622989491753,2.2308622989491753
14,2.2436967888779664,2.2436967888779664
15,2.2450160190478416,2.2450160190478416
16,2.6199590408707545,2.6199590408707545
17,2.6372897084536278,2.6372897084536278
18,2.646140434179458,2.646140434179458
19,2.647519680626962,2.647519680626962
20,2.6370454994961543,2.6370454994961543
21,2.6289515088671087,2.6289515088671087
22,2.6031180035070745,2.6031180035070745
23,2.5894127011651635,2.5894127011651635
24,2.6364971980956025,2.6364971980956025
25,2.611018523194546,2.611018523194546
26,2.620052374534037,2.620052374534037
27,2.6206389822909517,2.6206389822909517
28,2.6380594107183444,2.6380594107183444
29,2.632179642604358,2.632179642604358
30,2.645999636788838,2.645999636788838
31,2.5928184742403766,2.5928184742403766
32,2.3567257927612957,2.3567257927612957
33,2.3656588251771797,2.3656588251771797
34,2.3662585012148223,2.3662585012148223
35,2.3494114669042694,2.3494114669042694
36,2.3061951196662434,2.3061951196662434
37,2.3253303597785155,2.3253303597785155
38,2.307976444764919,2.307976444764919
39,2.2715740053973152,2.2715740053973152
40,2.333749820337846,2.333749820337846
41,2.3050076821724983,2.3050076821724983
42,2.269455206965896,2.269455206965896
43,2.3196093777675206,2.3196093777675206
44,2.3179217584112783,2.3179217584112783
45,2.3441168306681663,2.3441168306681663
46,2.3242025553286263,2.3242025553286263
47,2.299015200594529,2.299015200594529
48,2.197749426771592,2.197749426771592
49,2.1842626616483547,2.1842626616483547
50,2.203811230741841,2.203811230741841
51,2.223019482429849,2.223019482429849
52,2.2209221807770567,2.2209221807770567
53,2.183295844735319,2.183295844735319
54,2.1830566317054143,2.1830566317054143
55,2.2040816384474917,2.2040816384474917
56,2.2215406670463453,2.2215406670463453
57,2.273014041836466,2.273014041836466
58,2.271449321957507,2.271449321957507
59,2.3239595201765324,2.3239595201765324
60,2.3193326300247805,2.3193326300247805
61,2.423973391768282,2.423973391768282
62,2.4700361673207847,2.4700361673207847
63,2.50541413378763,2.50541413378763
64,2.1934809737552667,2.1934809737552667
65,2.1953895886923473,2.1953895886923473
66,2.1792281253580548,2.1792281253580548
67,2.1358744058911103,2.1358744058911103
68,2.1855025081257646,2.1855025081257646
69,2.1301408731363742,2.1301408731363742
70,2.13482281332235,2.13482281332235
71,2.1829331072257725,2.1829331072257725
72,2.1625750892817863,2.1625750892817863
73,2.173424264259449,2.173424264259449
74,2.1844170392116635,2.1844170392116635
75,2.2067770449301185,2.2067770449301185
76,2.214078840591456,2.214078840591456
77,2.2338879173543598,2.2338879173543598
78,2.2550207671359703,2.2550207671359703
79,2.2901075132252835,2.2901075132252835
80,3.7827271622781047,3.7827271622781047
81,3.19901287666673,3.19901287666673
82,3.015993383726874,3.015993383726874
83,2.790678182798744,2.790678182798744
84,2.624372070429915,2.624372070429915
85,2.4511717444910133,2.4511717444910133
86,2.4130728035189812,2.4130728035189812
87,2.32349086476922,2.32349086476922
88,2.324393880882499,2.324393880882499
89,2.276787097057246,2.276787097057246
90,2.3120401207017,2.3120401207017
91,2.308342231476038,2.308342231476038
92,2.4111289874771136,2.4111289874771136
93,2.369575682018175,2.369575682018175
94,2.4356079590609725,2.4356079590609725
95,2.4739477893550186,2.4739477893550186
96,2.2556300744799986,2.2556300744799986
97,2.2629394923792807,2.2629394923792807
98,2.2526651949718683,2.2526651949718683
99,2.2627870486939616,2.2627870486939616
100,2.2744941071615385,2.2744941071615385
101,2.2469267039779934,2.2469267039779934
102,2.2530677623312947,2.2530677623312947
103,2.256738441283348,2.256738441283348
104,2.226621982618114,2.226621982618114
105,2.279247058206594,2.279247058206594
106,2.276335825754206,2.276335825754206
107,2.258505490461525,2.258505490461525
108,2.272761077073809,2.272761077073809
109,2.3166860069919686,2.3166860069919686
110,2.307664465677492,2.307664465677492
111,2.2804646096928063,2.2804646096928063
112,2.8116969828931433,2.8116969828931433
113,2.8006782397329513,2.8006782397329513
114,2.7631355375326114,2.7631355375326114
115,2.787230944710625,2.787230944710625
116,2.743437238248099,2.743437238248099
117,2.7777653366165675,2.7777653366165675
118,2.7246146674045075,2.7246146674045075
119,2.753420028806499,2.753420028806499
120,2.772446622279751,2.772446622279751
121,2.7626526903176902,2.7626526903176902
122,2.7311020724023938,2.7311020724023938
123,2.772277030613556,2.772277030613556
124,2.814111465036344,2.814111465036344
125,2.8064766363229245,2.8064766363229245
126,2.774058156340022,2.774058156340022
127,2.8462748495687817,2.8462748495687817
