Channel,RMS,Sigma
0,9.69819455345997,3.30532811769797
1,2.9744899802388,2.9744899802388
2,2.6377585522256686,2.6377585522256686
3,2.7743285881283644,2.7743285881283644
4,2.8461672691828643,2.8461672691828643
5,2.729320602661522,2.729320602661522
6,3.351789036042046,3.351789036042046
7,2.802922466786951,2.802922466786951
8,2.630185445518734,2.630185445518734
9,2.610780096503786,2.610780096503786
10,2.6194614717374565,2.6194614717374565
11,3.161419442420527,3.161419442420527
12,2.6151053930255235,2.6151053930255235
13,5.610865050825029,5.610865050825029
14,3.697989657422097,3.697989657422097
15,2.9227267248121698,2.9227267248121698
16,2.390734921256937,2.390734921256937
17,2.7950278045737735,2.7950278045737735
18,2.568590403614385,2.568590403614385
19,2.435723216439594,2.435723216439594
20,3.3546940027703442,3.3546940027703442
21,5.869693338828855,5.869693338828855
22,2.9879469779225496,2.9879469779225496
23,3.135630172826963,3.135630172826963
24,2.503245173689174,2.503245173689174
25,2.5408464139552294,2.5408464139552294
26,2.659779447157206,2.659779447157206
27,3.5587404558427735,3.5587404558427735
28,2.785618856188085,2.785618856188085
29,3.6662754014647505,3.6662754014647505
30,2.9464449503291594,2.9464449503291594
31,2.7161042525155414,2.7161042525155414
32,2.4752478734618784,2.4752478734618784
33,2.913350482461919,2.913350482461919
34,3.5868507690485085,3.5868507690485085
35,2.4029190078842078,2.4029190078842078
36,2.3379050368675456,2.3379050368675456
37,2.4136463108907527,2.4136463108907527
38,2.370359602569585,2.370359602569585
39,2.329870775255931,2.329870775255931
40,3.5307709444908792,3.5307709444908792
41,2.5503854131534776,2.5503854131534776
42,3.007196933989151,3.007196933989151
43,3.380217999384261,3.380217999384261
44,2.345896212265859,2.345896212265859
45,2.3467852415456374,2.3467852415456374
46,2.9693829326430103,2.9693829326430103
47,2.3739696184338457,2.3739696184338457
48,2.428162395404739,2.428162395404739
49,2.663265153084053,2.663265153084053
50,3.6408316091148367,3.6408316091148367
51,3.3314409984755695,3.3314409984755695
52,5.623938336329739,5.623938336329739
53,4.006648864883379,4.006648864883379
54,2.538084543929814,2.538084543929814
55,2.4570175454902405,2.4570175454902405
56,2.7186003854452876,2.7186003854452876
57,3.4161770517987167,3.4161770517987167
58,2.484558619314379,2.484558619314379
59,3.326651281807993,3.326651281807993
60,3.1809767520425427,3.1809767520425427
61,2.6350377925029065,2.6350377925029065
62,2.8087623707192417,2.8087623707192417
63,2.9917796989334255,2.9917796989334255
64,2.250514060077083,2.250514060077083
65,2.17021674710803,2.17021674710803
66,2.606185118046207,2.606185118046207
67,3.3089391634097653,3.3089391634097653
68,2.2173286410287347,2.2173286410287347
69,2.291033937521555,2.291033937521555
70,2.1641378674895893,2.1641378674895893
71,2.2121691310865503,2.2121691310865503
72,2.316812583073283,2.316812583073283
73,3.121225669754081,3.121225669754081
74,2.6504730436126844,2.6504730436126844
75,2.385854596091195,2.385854596091195
76,3.6647536036818487,3.6647536036818487
77,3.0767866118335845,3.0767866118335845
78,2.5330675951842596,2.5330675951842596
79,2.302082344033091,2.302082344033091
80,3.801241873673656,3.801241873673656
81,3.519608266595406,3.519608266595406
82,3.157355214821813,3.157355214821813
83,3.30495153389041,3.30495153389041
84,2.771457243550955,2.771457243550955
85,2.8601157879253325,2.8601157879253325
86,3.162023731246541,3.162023731246541
87,2.5331378308060066,2.5331378308060066
88,2.477775444019494,2.477775444019494
89,2.722582525317936,2.722582525317936
90,3.220097758807975,3.220097758807975
91,2.4503210042478956,2.4503210042478956
92,2.633060506990027,2.633060506990027
93,2.551101592684146,2.551101592684146
94,2.623128957858795,2.623128957858795
95,2.6722387266696486,2.6722387266696486
96,2.725246788031676,2.725246788031676
97,2.705581475530608,2.705581475530608
98,2.722404697295454,2.722404697295454
99,2.9541671829969545,2.9541671829969545
100,2.664547843767175,2.664547843767175
101,3.061843861418543,3.061843861418543
102,2.820728443622953,2.820728443622953
103,3.4793448675913283,3.4793448675913283
104,3.413051011875889,3.413051011875889
105,2.6720350359115987,2.6720350359115987
106,2.95794391732526,2.95794391732526
107,2.8686593380918377,2.8686593380918377
108,2.785658069433745,2.785658069433745
109,3.281484356162896,3.281484356162896
110,2.7181427432863687,2.7181427432863687
111,2.979822126338278,2.979822126338278
112,2.1653996740350516,2.1653996740350516
113,2.5774236392112733,2.5774236392112733
114,2.982374764375058,2.982374764375058
115,2.3574430298383544,2.3574430298383544
116,3.1186647261877076,3.1186647261877076
117,2.2796700501074683,2.2796700501074683
118,2.3964379364312225,2.3964379364312225
119,2.413135544155742,2.413135544155742
120,3.021773699183735,3.021773699183735
121,2.1652611458244184,2.1652611458244184
122,2.185303270898374,2.185303270898374
123,2.4533096016654197,2.4533096016654197
124,3.494470317648276,3.494470317648276
125,2.3701198649567528,2.3701198649567528
126,2.1679139756192067,2.1679139756192067
127,2.225182104223555,2.225182104223555
