Channel,RMS,Sigma
0,13.163981869722432,2.692532724107456
1,2.3983650391398172,2.3983650391398172
2,2.966697184586498,2.966697184586498
3,2.436919696584399,2.436919696584399
4,2.6547952467920046,2.6547952467920046
5,3.3187421185504697,3.3187421185504697
6,2.2759812978860054,2.2759812978860054
7,2.524649385480425,2.524649385480425
8,3.5556587637477026,3.5556587637477026
9,2.461176850286016,2.461176850286016
10,2.938642515320832,2.938642515320832
11,2.580020682691321,2.580020682691321
12,2.358669921385053,2.358669921385053
13,3.155576606532718,3.155576606532718
14,2.265620205412104,2.265620205412104
15,3.811906434246888,3.811906434246888
16,2.9588905952109514,2.9588905952109514
17,2.784702627967733,2.784702627967733
18,2.576101213353597,2.576101213353597
19,3.7022994238465947,3.7022994238465947
20,2.589847215468409,2.589847215468409
21,2.893752928262481,2.893752928262481
22,2.9267852374018752,2.9267852374018752
23,2.6938292971706015,2.6938292971706015
24,3.2413760445728976,3.2413760445728976
25,2.6313016133126967,2.6313016133126967
26,3.428431929826516,3.428431929826516
27,2.7691033107229477,2.7691033107229477
28,2.723437997256411,2.723437997256411
29,2.9582841609348267,2.9582841609348267
30,3.4069983495858667,3.4069983495858667
31,6.208401889727068,6.208401889727068
32,3.573230088278558,3.573230088278558
33,2.632267430035903,2.632267430035903
34,3.1219629815880863,3.1219629815880863
35,2.537395487267119,2.537395487267119
36,2.593423570035037,2.593423570035037
37,2.4721773499092317,2.4721773499092317
38,3.1210347923402226,3.1210347923402226
39,2.665963329350321,2.665963329350321
40,3.1053676514538227,3.1053676514538227
41,3.0999302028937716,3.0999302028937716
42,2.804843628613517,2.804843628613517
43,2.487953576755332,2.487953576755332
44,3.2048975102141637,3.2048975102141637
45,2.833087763465496,2.833087763465496
46,2.6755872117355786,2.6755872117355786
47,2.7733239808859116,2.7733239808859116
48,2.274166026655509,2.274166026655509
49,3.270203591562688,3.270203591562688
50,4.001355013763216,4.001355013763216
51,3.2004542860237053,3.2004542860237053
52,3.0460296225851184,3.0460296225851184
53,3.6169904274690245,3.6169904274690245
54,2.183440968259259,2.183440968259259
55,3.4491143190313935,3.4491143190313935
56,2.443702169529977,2.443702169529977
57,2.5836402738443245,2.5836402738443245
58,2.2294472492201605,2.2294472492201605
59,2.577134652652294,2.577134652652294
60,3.1793182101585202,3.1793182101585202
61,3.069318815952725,3.069318815952725
62,2.4654559843564243,2.4654559843564243
63,3.5446220320273127,3.5446220320273127
64,2.1952697839080098,2.1952697839080098
65,2.2651462256928303,2.2651462256928303
66,2.305886916163701,2.305886916163701
67,2.913564141232662,2.913564141232662
68,2.492243518227267,2.492243518227267
69,2.3109404469993344,2.3109404469993344
70,3.3492532941751643,3.3492532941751643
71,2.447716541957736,2.447716541957736
72,2.4570654460392967,2.4570654460392967
73,2.141002070127828,2.141002070127828
74,2.1702478973177084,2.1702478973177084
75,2.9656272089812745,2.9656272089812745
76,2.7575098626441275,2.7575098626441275
77,3.2334782103288244,3.2334782103288244
78,3.957125074390436,3.957125074390436
79,2.550509806901025,2.550509806901025
80,4.321903536743924,4.321903536743924
81,4.292793531750843,4.292793531750843
82,5.5007554174717415,5.5007554174717415
83,3.0344877196506843,3.0344877196506843
84,2.9018626184608785,2.9018626184608785
85,3.9756957152008727,3.9756957152008727
86,4.553900367221655,4.553900367221655
87,2.809108159390633,2.809108159390633
88,2.6305046226647253,2.6305046226647253
89,4.859230708979007,4.859230708979007
90,2.7517536012493493,2.7517536012493493
91,2.861640922319615,2.861640922319615
92,2.6467720819645244,2.6467720819645244
93,4.477249206300155,4.477249206300155
94,2.928190518785724,2.928190518785724
95,3.3423516187998596,3.3423516187998596
96,2.9781745375778597,2.9781745375778597
97,3.3041453760854664,3.3041453760854664
98,2.8604069631771,2.8604069631771
99,2.8312574476758328,2.8312574476758328
100,3.0786253939630224,3.0786253939630224
101,2.9264821199483264,2.9264821199483264
102,2.7406879620003437,2.7406879620003437
103,2.7322101810467134,2.7322101810467134
104,3.2714689964836174,3.2714689964836174
105,2.793725658793549,2.793725658793549
106,3.54047742824882,3.54047742824882
107,3.0755806847931404,3.0755806847931404
108,2.6714515498813522,2.6714515498813522
109,2.88874934061266,2.88874934061266
110,2.88720297125632,2.88720297125632
111,2.8160681902793727,2.8160681902793727
112,2.6716642594795945,2.6716642594795945
113,4.844125932033424,4.844125932033424
114,3.3486841780988903,3.3486841780988903
115,3.015149640127564,3.015149640127564
116,3.1317148130852983,3.1317148130852983
117,2.842091268176708,2.842091268176708
118,2.6232731709466828,2.6232731709466828
119,2.905195680936509,2.905195680936509
120,2.5991600518362494,2.5991600518362494
121,2.815859902179733,2.815859902179733
122,3.0746209945882366,3.0746209945882366
123,3.706523053092448,3.706523053092448
124,2.657108874424132,2.657108874424132
125,2.7020954162671553,2.7020954162671553
126,3.413167614157357,3.413167614157357
127,3.883739996993891,3.883739996993891
