Channel,RMS,Sigma
0,13.273594560517394,2.9387136378336898
1,2.4331495191962493,2.4331495191962493
2,2.2135757155885587,2.2135757155885587
3,2.371458192788709,2.371458192788709
4,2.29377607088563,2.29377607088563
5,2.1723514597419893,2.1723514597419893
6,2.523663507119385,2.523663507119385
7,2.1138901148042604,2.1138901148042604
8,2.233886215648304,2.233886215648304
9,2.1188381333804367,2.1188381333804367
10,2.5164935140319034,2.5164935140319034
11,2.411953557288505,2.411953557288505
12,3.758641050472455,3.758641050472455
13,2.2660591356852513,2.2660591356852513
14,2.4663536190573634,2.4663536190573634
15,2.1761606083144054,2.1761606083144054
16,2.247170168091498,2.247170168091498
17,2.2753532050828813,2.2753532050828813
18,2.3672000476266732,2.3672000476266732
19,2.572077394112683,2.572077394112683
20,3.1473793676065713,3.1473793676065713
21,2.4177735018685738,2.4177735018685738
22,2.42649539281607,2.42649539281607
23,2.714666574709522,2.714666574709522
24,2.140622743825771,2.140622743825771
25,2.327071462163248,2.327071462163248
26,2.4064852013645046,2.4064852013645046
27,2.3296218838961265,2.3296218838961265
28,2.8833795109623073,2.8833795109623073
29,3.2817448219676013,3.2817448219676013
30,2.6948057068865157,2.6948057068865157
31,3.007378624963884,3.007378624963884
32,3.4326392624966475,3.4326392624966475
33,2.5561736586124293,2.5561736586124293
34,2.7929298079993967,2.7929298079993967
35,2.549156646513435,2.549156646513435
36,3.7006844359116444,3.7006844359116444
37,2.333417875720062,2.333417875720062
38,2.353049760354522,2.353049760354522
39,2.3454619099637575,2.3454619099637575
40,4.117564509973293,4.117564509973293
41,2.90378805005147,2.90378805005147
42,3.0044333414466866,3.0044333414466866
43,4.85567411783745,4.85567411783745
44,4.998393838468207,4.998393838468207
45,2.338514876224719,2.338514876224719
46,2.5899281034039774,2.5899281034039774
47,2.9339960716720124,2.9339960716720124
48,2.652277067111377,2.652277067111377
49,2.878678472129375,2.878678472129375
50,2.2302842815369237,2.2302842815369237
51,2.3451989208655406,2.3451989208655406
52,3.778002460555478,3.778002460555478
53,2.860112920576567,2.860112920576567
54,2.125068466349406,2.125068466349406
55,2.338181371995297,2.338181371995297
56,2.23843955722961,2.23843955722961
57,2.7398513786914767,2.7398513786914767
58,2.6748942309725368,2.6748942309725368
59,2.549190541679348,2.549190541679348
60,2.649766122018751,2.649766122018751
61,2.4263822984648606,2.4263822984648606
62,2.722472441209178,2.722472441209178
63,3.6160498148564875,3.6160498148564875
64,2.820263219781895,2.820263219781895
65,2.2593701185592603,2.2593701185592603
66,2.4410283454998596,2.4410283454998596
67,2.0757974551674905,2.0757974551674905
68,2.5117740538404396,2.5117740538404396
69,2.024119060676619,2.024119060676619
70,2.7385065269406557,2.7385065269406557
71,2.0256512299193767,2.0256512299193767
72,2.0902275691468506,2.0902275691468506
73,2.1188441157569433,2.1188441157569433
74,2.576409213890412,2.576409213890412
75,2.4358339423278847,2.4358339423278847
76,2.323992931589661,2.323992931589661
77,2.4376108590307584,2.4376108590307584
78,2.1734221823128417,2.1734221823128417
79,3.802055424001618,3.802055424001618
80,3.744998901709872,3.744998901709872
81,3.4526265708871113,3.4526265708871113
82,3.644799489987004,3.644799489987004
83,3.1240125798202563,3.1240125798202563
84,2.7106165438168937,2.7106165438168937
85,2.5267079623773174,2.5267079623773174
86,2.446301818407024,2.446301818407024
87,3.2409777981675463,3.2409777981675463
88,2.633544952017046,2.633544952017046
89,4.5462286824588345,4.5462286824588345
90,2.301033515813891,2.301033515813891
91,4.308075770073529,4.308075770073529
92,2.681627437915101,2.681627437915101
93,2.3955199952954676,2.3955199952954676
94,2.9714326123455725,2.9714326123455725
95,3.0188423168932212,3.0188423168932212
96,2.105333522541425,2.105333522541425
97,2.1301279074509036,2.1301279074509036
98,2.2177596052688164,2.2177596052688164
99,2.6721316783994085,2.6721316783994085
100,2.8488859130714004,2.8488859130714004
101,2.2592516794425808,2.2592516794425808
102,2.5301132276757774,2.5301132276757774
103,2.7631590159491255,2.7631590159491255
104,4.153036415509226,4.153036415509226
105,2.5054670749462313,2.5054670749462313
106,3.562016707875342,3.562016707875342
107,2.1217088424492725,2.1217088424492725
108,2.318195428747398,2.318195428747398
109,2.1133428927617737,2.1133428927617737
110,2.8461182199336985,2.8461182199336985
111,2.255652926843914,2.255652926843914
112,2.435582055331564,2.435582055331564
113,3.2804771148351684,3.2804771148351684
114,2.445867968645794,2.445867968645794
115,2.3657186525329226,2.3657186525329226
116,3.884340854214985,3.884340854214985
117,3.1998882641135395,3.1998882641135395
118,2.6037104482973166,2.6037104482973166
119,2.3643426479564393,2.3643426479564393
120,3.7785574194025835,3.7785574194025835
121,2.322517265859964,2.322517265859964
122,3.0958604485976666,3.0958604485976666
123,2.417366286192381,2.417366286192381
124,3.2950988675486617,3.2950988675486617
125,2.840814136325323,2.840814136325323
126,2.284494871263582,2.284494871263582
127,2.825489457499194,2.825489457499194
