Channel,RMS,Sigma
0,15.197753012322016,2.7636742177905025
1,3.682525511483795,3.682525511483795
2,3.4090913342966216,3.4090913342966216
3,2.5769857557380615,2.5769857557380615
4,2.6329252081682477,2.6329252081682477
5,3.167188154623389,3.167188154623389
6,2.963144486654437,2.963144486654437
7,2.6387552501304326,2.6387552501304326
8,4.470091184587583,4.470091184587583
9,3.0145139576243216,3.0145139576243216
10,3.3222111934616665,3.3222111934616665
11,2.5428477594468832,2.5428477594468832
12,2.5130308468720117,2.5130308468720117
13,2.5887476095672253,2.5887476095672253
14,2.4904924051809587,2.4904924051809587
15,2.5521897469745842,2.5521897469745842
16,2.932119906757687,2.932119906757687
17,2.3076002666402586,2.3076002666402586
18,3.1881075667874414,3.1881075667874414
19,2.570778229400768,2.570778229400768
20,2.221806624414763,2.221806624414763
21,3.6362707287898557,3.6362707287898557
22,3.1252500770383964,3.1252500770383964
23,3.1004399913454503,3.1004399913454503
24,3.120602253851481,3.120602253851481
25,3.790994355485828,3.790994355485828
26,2.6435512122284215,2.6435512122284215
27,2.276172781265264,2.276172781265264
28,2.2554028912242257,2.2554028912242257
29,3.139300191686848,3.139300191686848
30,2.2923349478457054,2.2923349478457054
31,3.7438000405602323,3.7438000405602323
32,3.7574257777741527,3.7574257777741527
33,3.393328183031765,3.393328183031765
34,3.763361709201923,3.763361709201923
35,4.1660341034379265,4.1660341034379265
36,3.0066341126349676,3.0066341126349676
37,3.224233410555322,3.224233410555322
38,3.558192634606619,3.558192634606619
39,3.15603178838054,3.15603178838054
40,3.2859566676349266,3.2859566676349266
41,4.908097496826833,4.908097496826833
42,3.2877486075439606,3.2877486075439606
43,3.6310535168664515,3.6310535168664515
44,4.162328250281473,4.162328250281473
45,3.0481264090286726,3.0481264090286726
46,3.0136744525498926,3.0136744525498926
47,3.5734700471300878,3.5734700471300878
48,2.9689163924380204,2.9689163924380204
49,2.845998533503477,2.845998533503477
50,2.899988448247835,2.899988448247835
51,4.461530313560785,4.461530313560785
52,2.6833301201977555,2.6833301201977555
53,3.2740519103602432,3.2740519103602432
54,2.5146891414039074,2.5146891414039074
55,2.514351035426778,2.514351035426778
56,3.407397383152996,3.407397383152996
57,2.5055231318144187,2.5055231318144187
58,3.8787668323760265,3.8787668323760265
59,3.303421620192818,3.303421620192818
60,2.591985702700967,2.591985702700967
61,3.0990686099394975,3.0990686099394975
62,2.9941043323795884,2.9941043323795884
63,2.9081156339175744,2.9081156339175744
64,2.4643584108255334,2.4643584108255334
65,4.249101938368141,4.249101938368141
66,2.9531127172423397,2.9531127172423397
67,3.339912163334092,3.339912163334092
68,2.5947429279735728,2.5947429279735728
69,2.933511641753011,2.933511641753011
70,2.421844814867362,2.421844814867362
71,2.4511199476835595,2.4511199476835595
72,3.9773881761279046,3.9773881761279046
73,2.583906977628551,2.583906977628551
74,4.604789624528656,4.604789624528656
75,4.251991466767969,4.251991466767969
76,2.5557910913562147,2.5557910913562147
77,2.737000651757625,2.737000651757625
78,2.989296191461478,2.989296191461478
79,3.7038468544701963,3.7038468544701963
80,4.33582326451,4.33582326451
81,4.252702293600822,4.252702293600822
82,3.9884928796314685,3.9884928796314685
83,3.654816924204813,3.654816924204813
84,3.074565262929363,3.074565262929363
85,3.0249925666341317,3.0249925666341317
86,2.743457245000285,2.743457245000285
87,3.3789602607255724,3.3789602607255724
88,2.7705089074955276,2.7705089074955276
89,3.65420954418074,3.65420954418074
90,2.9755513965524436,2.9755513965524436
91,3.229990033740992,3.229990033740992
92,3.5882000736176916,3.5882000736176916
93,3.5319337420044854,3.5319337420044854
94,2.964911828693592,2.964911828693592
95,4.21141591610642,4.21141591610642
96,2.4509610873254024,2.4509610873254024
97,2.64438100186759,2.64438100186759
98,3.5686675380001462,3.5686675380001462
99,2.48650436040148,2.48650436040148
100,2.311632619885567,2.311632619885567
101,2.551371853222344,2.551371853222344
102,3.1819967448054594,3.1819967448054594
103,2.565450251395652,2.565450251395652
104,4.35229943902781,4.35229943902781
105,2.429908877582616,2.429908877582616
106,2.383337593279582,2.383337593279582
107,3.594980691767013,3.594980691767013
108,3.6984588928773423,3.6984588928773423
109,3.928028475950628,3.928028475950628
110,2.6879466308865463,2.6879466308865463
111,2.426862330002454,2.426862330002454
112,2.972803992181996,2.972803992181996
113,2.846200682588219,2.846200682588219
114,2.818719306216341,2.818719306216341
115,2.8515296385687914,2.8515296385687914
116,3.056349145830994,3.056349145830994
117,2.9054611121950966,2.9054611121950966
118,4.029866285370347,4.029866285370347
119,2.7493554096230395,2.7493554096230395
120,3.077176721998457,3.077176721998457
121,3.045025705521532,3.045025705521532
122,2.961907030786701,2.961907030786701
123,2.970416674811635,2.970416674811635
124,3.374120618712131,3.374120618712131
125,3.425153648029252,3.425153648029252
126,5.059039803740217,5.059039803740217
127,3.9561012296046734,3.9561012296046734
