Channel,RMS,Sigma
0,11.525585891787406,2.3633340407007273
1,3.5994346090078677,3.5994346090078677
2,2.7664590177851105,2.7664590177851105
3,2.7469044385576957,2.7469044385576957
4,2.3559842211406834,2.3559842211406834
5,2.3636378734562866,2.3636378734562866
6,2.7203153509671827,2.7203153509671827
7,2.463142225570119,2.463142225570119
8,2.3438520559216927,2.3438520559216927
9,2.7121499981533046,2.7121499981533046
10,3.536048543063232,3.536048543063232
11,4.563124538675562,4.563124538675562
12,2.3654220415187437,2.3654220415187437
13,2.3986053562596297,2.3986053562596297
14,2.6071289777288627,2.6071289777288627
15,3.0786691055938147,3.0786691055938147
16,2.196470887052841,2.196470887052841
17,2.8488314740778273,2.8488314740778273
18,2.259779794445256,2.259779794445256
19,2.399527295025669,2.399527295025669
20,2.2479135873251628,2.2479135873251628
21,2.516994561802003,2.516994561802003
22,2.1298850710689474,2.1298850710689474
23,2.9369020961945087,2.9369020961945087
24,3.4137850912998595,3.4137850912998595
25,2.4629114899223095,2.4629114899223095
26,2.56038184327629,2.56038184327629
27,3.328727327058528,3.328727327058528
28,3.106584179950062,3.106584179950062
29,2.940550641374562,2.940550641374562
30,2.1825830463659126,2.1825830463659126
31,2.563274931680095,2.563274931680095
32,2.7762583060066324,2.7762583060066324
33,3.509423130445269,3.509423130445269
34,2.9868592625309622,2.9868592625309622
35,2.8990209695029034,2.8990209695029034
36,2.5409211448782107,2.5409211448782107
37,3.0967753463661527,3.0967753463661527
38,3.5741293333908266,3.5741293333908266
39,2.5545310961888448,2.5545310961888448
40,2.510475141348018,2.510475141348018
41,2.821512164462274,2.821512164462274
42,3.374309826183177,3.374309826183177
43,2.553873026308571,2.553873026308571
44,2.923179725193732,2.923179725193732
45,2.9247362272870174,2.9247362272870174
46,3.5302775206106056,3.5302775206106056
47,3.13619098498054,3.13619098498054
48,3.1931419182866874,3.1931419182866874
49,3.5148266681414095,3.5148266681414095
50,2.8511325176474034,2.8511325176474034
51,2.644556279151037,2.644556279151037
52,3.619178202283507,3.619178202283507
53,2.5808592064704503,2.5808592064704503
54,2.556657259599934,2.556657259599934
55,2.5993798973989537,2.5993798973989537
56,2.625492192141814,2.625492192141814
57,2.652065420794599,2.652065420794599
58,2.5918449669107178,2.5918449669107178
59,3.0525160915509266,3.0525160915509266
60,2.741591947693102,2.741591947693102
61,2.8787130336453646,2.8787130336453646
62,2.9472058248983086,2.9472058248983086
63,2.858244140077953,2.858244140077953
64,3.357233186315361,3.357233186315361
65,2.4433032454091914,2.4433032454091914
66,2.296640803930566,2.296640803930566
67,2.527731219588156,2.527731219588156
68,2.2787356402779366,2.2787356402779366
69,2.6387156737340707,2.6387156737340707
70,2.202752500083838,2.202752500083838
71,2.374567239043917,2.374567239043917
72,3.356224910339618,3.356224910339618
73,2.448241875372366,2.448241875372366
74,2.3935508962638274,2.3935508962638274
75,3.6122552681015594,3.6122552681015594
76,2.7980949220694344,2.7980949220694344
77,3.8091680745414718,3.8091680745414718
78,2.363456791488001,2.363456791488001
79,2.569572695181199,2.569572695181199
80,4.142332176192155,4.142332176192155
81,3.0877817335856057,3.0877817335856057
82,3.108987111693724,3.108987111693724
83,2.808529438287082,2.808529438287082
84,2.6453832682095197,2.6453832682095197
85,2.5075721450848123,2.5075721450848123
86,2.429092502776772,2.429092502776772
87,2.3686288516292633,2.3686288516292633
88,2.3793610202639015,2.3793610202639015
89,2.910814140701497,2.910814140701497
90,2.291047622012038,2.291047622012038
91,2.3886749826217315,2.3886749826217315
92,2.4015178738263243,2.4015178738263243
93,2.585093868598782,2.585093868598782
94,2.419927192820275,2.419927192820275
95,4.036905092982892,4.036905092982892
96,2.349696089300976,2.349696089300976
97,3.3947372149038566,3.3947372149038566
98,2.3726294384749633,2.3726294384749633
99,2.241044568866095,2.241044568866095
100,2.3080686164534145,2.3080686164534145
101,2.370243143082532,2.370243143082532
102,2.223548806818127,2.223548806818127
103,2.35347937203619,2.35347937203619
104,2.269896231527691,2.269896231527691
105,2.6587309593272237,2.6587309593272237
106,2.487409306235749,2.487409306235749
107,2.3285660267818327,2.3285660267818327
108,2.5466163338980388,2.5466163338980388
109,2.881693900011755,2.881693900011755
110,2.2088727834790327,2.2088727834790327
111,2.2845577793332033,2.2845577793332033
112,2.6732516758997344,2.6732516758997344
113,2.9269101124985486,2.9269101124985486
114,3.7714459578405815,3.7714459578405815
115,2.929781818527032,2.929781818527032
116,3.2562419317891544,3.2562419317891544
117,2.6914417690597188,2.6914417690597188
118,2.720084610525638,2.720084610525638
119,3.0059147443980616,3.0059147443980616
120,2.6563667517822207,2.6563667517822207
121,3.618668704032063,3.618668704032063
122,2.6118856886637505,2.6118856886637505
123,3.8966586688212494,3.8966586688212494
124,2.703385437860535,2.703385437860535
125,3.3716638528989735,3.3716638528989735
126,2.9131543409274543,2.9131543409274543
127,2.711200557653127,2.711200557653127
