Channel,RMS,Sigma
0,6.862147974931941,2.2416051895962807
1,2.278607715794498,2.278607715794498
2,2.2113041970098983,2.2113041970098983
3,3.7531101017751394,3.7531101017751394
4,2.3187477476258094,2.3187477476258094
5,2.683476207721486,2.683476207721486
6,2.2475870031400116,2.2475870031400116
7,2.2763747235343255,2.2763747235343255
8,3.500504457727911,3.500504457727911
9,2.234011867083871,2.234011867083871
10,2.977045449381501,2.977045449381501
11,2.235728295929152,2.235728295929152
12,2.948986992643307,2.948986992643307
13,2.749842533078749,2.749842533078749
14,2.4333980358031577,2.4333980358031577
15,2.4733196445292798,2.4733196445292798
16,2.357475060213408,2.357475060213408
17,5.351143686670931,5.351143686670931
18,2.678826643280407,2.678826643280407
19,3.2922716716857634,3.2922716716857634
20,2.696854631096696,2.696854631096696
21,2.6054273215254407,2.6054273215254407
22,2.7285493247904427,2.7285493247904427
23,4.076885099095022,4.076885099095022
24,2.318208691543948,2.318208691543948
25,2.558310742842379,2.558310742842379
26,4.2346920093849985,4.2346920093849985
27,2.3546704244424257,2.3546704244424257
28,3.0827027705582926,3.0827027705582926
29,2.4180010712432103,2.4180010712432103
30,3.334687954347484,3.334687954347484
31,3.8808315043059745,3.8808315043059745
32,3.6314398644636467,3.6314398644636467
33,3.4646175516165236,3.4646175516165236
34,2.5277463741015174,2.5277463741015174
35,2.4974065413301205,2.4974065413301205
36,3.59072192375104,3.59072192375104
37,4.373649804920461,4.373649804920461
38,2.4449494476456657,2.4449494476456657
39,2.4905266188564377,2.4905266188564377
40,5.347614919953627,5.347614919953627
41,2.5882285841607064,2.5882285841607064
42,2.687356249056525,2.687356249056525
43,5.119719674188226,5.119719674188226
44,3.738866517890658,3.738866517890658
45,2.696374060994215,2.696374060994215
46,2.7843149041064432,2.7843149041064432
47,2.476468035625062,2.476468035625062
48,2.5965140155524797,2.5965140155524797
49,3.651641269001457,3.651641269001457
50,2.203502896165387,2.203502896165387
51,2.181160076516066,2.181160076516066
52,4.963455390518556,4.963455390518556
53,2.18067683250937,2.18067683250937
54,2.131938405208317,2.131938405208317
55,3.311768407934445,3.311768407934445
56,2.1818887067748585,2.1818887067748585
57,2.41778643306195,2.41778643306195
58,2.3365742932014104,2.3365742932014104
59,2.9455167952941426,2.9455167952941426
60,2.4156016891036716,2.4156016891036716
61,4.276457470210302,4.276457470210302
62,2.512204079032618,2.512204079032618
63,2.532465037820965,2.532465037820965
64,2.5958218077526163,2.5958218077526163
65,2.844346203201078,2.844346203201078
66,2.222425177608813,2.222425177608813
67,2.4055876947099395,2.4055876947099395
68,3.9356466704798443,3.9356466704798443
69,3.0595147630965305,3.0595147630965305
70,2.7757552233343694,2.7757552233343694
71,2.2877010953442696,2.2877010953442696
72,2.3542333376323485,2.3542333376323485
73,2.3405945719000205,2.3405945719000205
74,2.4972162037765435,2.4972162037765435
75,2.333846976781433,2.333846976781433
76,2.490184751002183,2.490184751002183
77,2.4896713249227087,2.4896713249227087
78,2.8991559915803653,2.8991559915803653
79,2.6195060755847153,2.6195060755847153
80,4.694335461528081,4.694335461528081
81,3.1939673223615452,3.1939673223615452
82,3.3164984705330043,3.3164984705330043
83,2.919835845597232,2.919835845597232
84,3.091833036047145,3.091833036047145
85,3.3230104543823136,3.3230104543823136
86,2.847704308244585,2.847704308244585
87,2.844116966061431,2.844116966061431
88,2.641910255832462,2.641910255832462
89,2.9166700728999553,2.9166700728999553
90,2.8047077595546352,2.8047077595546352
91,2.7061664887338717,2.7061664887338717
92,3.1459485485339544,3.1459485485339544
93,3.0882682207163037,3.0882682207163037
94,3.1518862572891786,3.1518862572891786
95,3.154937496068018,3.154937496068018
96,2.4785923451410343,2.4785923451410343
97,2.8636681173543264,2.8636681173543264
98,2.379763629658091,2.379763629658091
99,2.6105412665604506,2.6105412665604506
100,2.4042372776806986,2.4042372776806986
101,2.447000104043259,2.447000104043259
102,2.966309889298346,2.966309889298346
103,3.5759043480267976,3.5759043480267976
104,2.981260439457214,2.981260439457214
105,2.3560606025724375,2.3560606025724375
106,3.162960507181296,3.162960507181296
107,2.467856297192441,2.467856297192441
108,3.0155793207031016,3.0155793207031016
109,2.6287859299920577,2.6287859299920577
110,2.8171474698152514,2.8171474698152514
111,2.4520646139156614,2.4520646139156614
112,2.6320654887076866,2.6320654887076866
113,2.087320202401722,2.087320202401722
114,2.333320082748378,2.333320082748378
115,2.735042075558684,2.735042075558684
116,2.0815350266982167,2.0815350266982167
117,2.706018001434846,2.706018001434846
118,2.0243250842254263,2.0243250842254263
119,2.2569340037664456,2.2569340037664456
120,2.643782172504328,2.643782172504328
121,2.2002807360521377,2.2002807360521377
122,2.0815243725091626,2.0815243725091626
123,2.1096858199848185,2.1096858199848185
124,2.6902368670517256,2.6902368670517256
125,2.6248220171461383,2.6248220171461383
126,3.3017352297596076,3.3017352297596076
127,2.102813798971903,2.102813798971903
