Channel,RMS,Sigma
0,11.423727845614952,2.27588161931538
1,2.251971287878948,2.251971287878948
2,2.3537142750980773,2.3537142750980773
3,3.7918015259060316,3.7918015259060316
4,2.2227329726013343,2.2227329726013343
5,2.3393120510663374,2.3393120510663374
6,2.2241935511127595,2.2241935511127595
7,2.60371515363031,2.60371515363031
8,2.2927035067724457,2.2927035067724457
9,2.5485354814776504,2.5485354814776504
10,2.499145127953406,2.499145127953406
11,2.263157825150332,2.263157825150332
12,2.277712583111139,2.277712583111139
13,2.387956340907555,2.387956340907555
14,2.256275158596238,2.256275158596238
15,2.3607081676878017,2.3607081676878017
16,4.6363914564217,4.6363914564217
17,2.8716495669270783,2.8716495669270783
18,2.3959840972549302,2.3959840972549302
19,2.4227553434297726,2.4227553434297726
20,4.5646247208699124,4.5646247208699124
21,3.0286687098637746,3.0286687098637746
22,2.677716387794481,2.677716387794481
23,2.6663552207517127,2.6663552207517127
24,2.4757120815119835,2.4757120815119835
25,2.784329046661986,2.784329046661986
26,2.790089055910527,2.790089055910527
27,2.2462969845733207,2.2462969845733207
28,2.4550656210787998,2.4550656210787998
29,2.5908386866787003,2.5908386866787003
30,4.804435113379537,4.804435113379537
31,3.0377515627265548,3.0377515627265548
32,2.7348323496451923,2.7348323496451923
33,3.6633614172831392,3.6633614172831392
34,5.07233021578893,5.07233021578893
35,3.0307902252104126,3.0307902252104126
36,2.856830164058371,2.856830164058371
37,4.623708609749679,4.623708609749679
38,2.532111541829556,2.532111541829556
39,3.6489066551724734,3.6489066551724734
40,2.5005794484112833,2.5005794484112833
41,4.209957037184824,4.209957037184824
42,2.6616101313448866,2.6616101313448866
43,2.5372698960171522,2.5372698960171522
44,2.8446241896370053,2.8446241896370053
45,2.6592377618658936,2.6592377618658936
46,3.2461087098309176,3.2461087098309176
47,2.633096313986287,2.633096313986287
48,2.336811479318676,2.336811479318676
49,2.3517038843129536,2.3517038843129536
50,3.2304706258059963,3.2304706258059963
51,3.500273151833036,3.500273151833036
52,2.337063560312696,2.337063560312696
53,2.510230462114287,2.510230462114287
54,5.248818942548618,5.248818942548618
55,2.532866182920228,2.532866182920228
56,2.376811394322655,2.376811394322655
57,2.8374380822008867,2.8374380822008867
58,2.3498476869007425,2.3498476869007425
59,3.0614613310308516,3.0614613310308516
60,3.6401153348452406,3.6401153348452406
61,2.9749955631210967,2.9749955631210967
62,6.460718403966022,6.460718403966022
63,3.4298181697353214,3.4298181697353214
64,2.3045159468784453,2.3045159468784453
65,2.335041631093036,2.335041631093036
66,2.3093625261418267,2.3093625261418267
67,2.2581497255447363,2.2581497255447363
68,2.364369335463115,2.364369335463115
69,2.3075141572448237,2.3075141572448237
70,2.309241101661461,2.309241101661461
71,2.2688418123883274,2.2688418123883274
72,2.4875552657733273,2.4875552657733273
73,2.3361388656762307,2.3361388656762307
74,3.7827467408864694,3.7827467408864694
75,2.400247157333982,2.400247157333982
76,2.3483029614336437,2.3483029614336437
77,2.618430324995926,2.618430324995926
78,2.596132909191839,2.596132909191839
79,3.306159755848647,3.306159755848647
80,4.26750480284079,4.26750480284079
81,3.4529641408269782,3.4529641408269782
82,3.847104279804644,3.847104279804644
83,3.1304024951728224,3.1304024951728224
84,3.416330724638384,3.416330724638384
85,3.299866719165097,3.299866719165097
86,4.673103492194211,4.673103492194211
87,3.1555877559188836,3.1555877559188836
88,2.8684265425834914,2.8684265425834914
89,3.3824675033504983,3.3824675033504983
90,3.337581266103231,3.337581266103231
91,3.18269853521216,3.18269853521216
92,2.9658518314640974,2.9658518314640974
93,2.916898446276406,2.916898446276406
94,3.2082569230476006,3.2082569230476006
95,2.984978677652289,2.984978677652289
96,2.255198123417554,2.255198123417554
97,2.3186744912344643,2.3186744912344643
98,2.3422029578599983,2.3422029578599983
99,2.2170157929136094,2.2170157929136094
100,2.54407921509915,2.54407921509915
101,2.176547475152804,2.176547475152804
102,2.1841911979572015,2.1841911979572015
103,2.1514114482631768,2.1514114482631768
104,3.446992495718445,3.446992495718445
105,3.6376818394750403,3.6376818394750403
106,2.2595069247495454,2.2595069247495454
107,4.100553876876469,4.100553876876469
108,3.712169181449731,3.712169181449731
109,2.5062681998033787,2.5062681998033787
110,2.514121898291424,2.514121898291424
111,2.8659952085020524,2.8659952085020524
112,2.871668409534171,2.871668409534171
113,2.8572867480196815,2.8572867480196815
114,3.116284572466937,3.116284572466937
115,2.5747161341547256,2.5747161341547256
116,2.5997141641946557,2.5997141641946557
117,2.7852204762949957,2.7852204762949957
118,2.507849165233977,2.507849165233977
119,2.7833615317581937,2.7833615317581937
120,3.5456718332648327,3.5456718332648327
121,2.598868777667422,2.598868777667422
122,3.906738361370204,3.906738361370204
123,2.7564968590961763,2.7564968590961763
124,2.9738065713142805,2.9738065713142805
125,2.7729608983466933,2.7729608983466933
126,2.560830693054104,2.560830693054104
127,2.637564605745681,2.637564605745681
