Channel,RMS,Sigma
0,6.900601577303698,2.4004243763698634
1,2.337043578261321,2.337043578261321
2,2.815758512319673,2.815758512319673
3,3.0715713598476855,3.0715713598476855
4,3.053214485947808,3.053214485947808
5,2.4805268606043938,2.4805268606043938
6,2.3164459069769046,2.3164459069769046
7,2.4074267430673393,2.4074267430673393
8,2.5401702187581017,2.5401702187581017
9,3.601780056531689,3.601780056531689
10,2.313753463882242,2.313753463882242
11,2.783233678930738,2.783233678930738
12,2.41423358833846,2.41423358833846
13,2.3925724192440248,2.3925724192440248
14,3.3127675844465547,3.3127675844465547
15,3.5559318408330696,3.5559318408330696
16,2.2511584362335753,2.2511584362335753
17,3.7190946000908798,3.7190946000908798
18,2.2702729956754766,2.2702729956754766
19,2.3801300601932738,2.3801300601932738
20,3.982041407502261,3.982041407502261
21,2.340571153848507,2.340571153848507
22,4.535375068801935,4.535375068801935
23,2.2405379621797876,2.2405379621797876
24,2.2240394656864217,2.2240394656864217
25,2.3445631900454713,2.3445631900454713
26,2.2662425526741314,2.2662425526741314
27,2.3345590341266376,2.3345590341266376
28,2.434016264164666,2.434016264164666
29,2.7002642872763523,2.7002642872763523
30,2.2949136231087577,2.2949136231087577
31,2.256885866653131,2.256885866653131
32,3.5189342978944054,3.5189342978944054
33,2.5156674355390316,2.5156674355390316
34,3.490255973051696,3.490255973051696
35,2.5190227619700356,2.5190227619700356
36,2.457506202872383,2.457506202872383
37,2.42722787307901,2.42722787307901
38,2.3996031639268107,2.3996031639268107
39,2.463304369162601,2.463304369162601
40,3.8112060857364853,3.8112060857364853
41,2.5288880974084895,2.5288880974084895
42,2.4319958543239104,2.4319958543239104
43,3.1035998455633123,3.1035998455633123
44,2.4138292689775187,2.4138292689775187
45,2.4595223900976597,2.4595223900976597
46,2.573739531399328,2.573739531399328
47,2.8610805135515514,2.8610805135515514
48,2.3163711942664404,2.3163711942664404
49,3.6938906703522254,3.6938906703522254
50,2.78883331096733,2.78883331096733
51,2.674584624415127,2.674584624415127
52,2.7694726134853576,2.7694726134853576
53,2.593024974381551,2.593024974381551
54,3.7097218104455476,3.7097218104455476
55,2.5312518969458275,2.5312518969458275
56,2.6484654437202804,2.6484654437202804
57,2.3375866739074054,2.3375866739074054
58,2.3626423988304666,2.3626423988304666
59,2.4493451626837794,2.4493451626837794
60,4.122822930238281,4.122822930238281
61,2.5390718147547404,2.5390718147547404
62,3.1824242481974077,3.1824242481974077
63,3.2380066720502274,3.2380066720502274
64,3.623385998584566,3.623385998584566
65,2.693209553721026,2.693209553721026
66,2.756308501907126,2.756308501907126
67,2.9320315670567623,2.9320315670567623
68,3.7462797093902114,3.7462797093902114
69,2.6114695442431506,2.6114695442431506
70,2.640548545398703,2.640548545398703
71,2.984015488289656,2.984015488289656
72,2.686196908858598,2.686196908858598
73,4.988082872483645,4.988082872483645
74,2.8127697810420935,2.8127697810420935
75,2.804152246310314,2.804152246310314
76,3.1394416991193985,3.1394416991193985
77,2.766161103488381,2.766161103488381
78,2.74250299663043,2.74250299663043
79,3.0876114167378255,3.0876114167378255
80,3.989263887213654,3.989263887213654
81,3.8827678827735115,3.8827678827735115
82,3.4802749042201953,3.4802749042201953
83,3.331033666227149,3.331033666227149
84,2.8993407460014033,2.8993407460014033
85,2.734113680296974,2.734113680296974
86,3.386504500405839,3.386504500405839
87,2.5098943186791223,2.5098943186791223
88,2.459016508377934,2.459016508377934
89,2.4377618193542365,2.4377618193542365
90,3.256074891235847,3.256074891235847
91,2.748458732319641,2.748458732319641
92,2.4710967596287787,2.4710967596287787
93,2.9357259667493336,2.9357259667493336
94,2.9300017067698985,2.9300017067698985
95,3.325742510043936,3.325742510043936
96,2.1987712960866745,2.1987712960866745
97,2.19341867627777,2.19341867627777
98,3.244843982660568,3.244843982660568
99,2.5318582740503923,2.5318582740503923
100,2.2672386102829094,2.2672386102829094
101,2.2245434631441086,2.2245434631441086
102,2.19118225254442,2.19118225254442
103,2.244728097333326,2.244728097333326
104,2.1934256321762096,2.1934256321762096
105,2.2835271935509223,2.2835271935509223
106,3.1821018814569357,3.1821018814569357
107,2.323751405831836,2.323751405831836
108,2.4282676417400464,2.4282676417400464
109,2.5678152716656406,2.5678152716656406
110,2.3137000713061644,2.3137000713061644
111,2.694221826214617,2.694221826214617
112,2.431654658544989,2.431654658544989
113,2.1545215739141392,2.1545215739141392
114,2.178272631899501,2.178272631899501
115,2.1922712090512024,2.1922712090512024
116,2.3819270403624357,2.3819270403624357
117,2.30739512487966,2.30739512487966
118,2.1583690991645095,2.1583690991645095
119,2.653529240648348,2.653529240648348
120,2.166868907786406,2.166868907786406
121,3.0586153406938266,3.0586153406938266
122,2.185104098560786,2.185104098560786
123,2.244930274215017,2.244930274215017
124,2.9043103915887434,2.9043103915887434
125,2.2097117706468,2.2097117706468
126,2.148781578375687,2.148781578375687
127,2.268474062102415,2.268474062102415
