Channel,RMS,Sigma
0,2.4600837623897407,2.4600837623897407
1,2.4717738105398346,2.4717738105398346
2,4.388681677668362,4.388681677668362
3,2.9934687422800135,2.9934687422800135
4,2.4604347885466287,2.4604347885466287
5,4.065686919955802,4.065686919955802
6,2.826456859910581,2.826456859910581
7,2.285264585027125,2.285264585027125
8,5.2074270386503,5.2074270386503
9,2.535411064992282,2.535411064992282
10,3.9510052583811714,3.9510052583811714
11,2.536106105964717,2.536106105964717
12,2.6404516167364878,2.6404516167364878
13,5.002345749956095,5.002345749956095
14,2.1873434726265386,2.1873434726265386
15,3.2800957267426445,3.2800957267426445
16,3.339320857709995,3.339320857709995
17,4.121367636752735,4.121367636752735
18,2.6442911286923234,2.6442911286923234
19,2.6482876199702723,2.6482876199702723
20,2.467650231821747,2.467650231821747
21,2.5212558736647877,2.5212558736647877
22,3.7494621814132922,3.7494621814132922
23,2.5379062156402163,2.5379062156402163
24,2.6058330081913663,2.6058330081913663
25,2.6645130355200344,2.6645130355200344
26,2.722384516065948,2.722384516065948
27,2.4868365316562184,2.4868365316562184
28,3.1897014836495994,3.1897014836495994
29,2.7117799286031947,2.7117799286031947
30,2.704410825711958,2.704410825711958
31,2.619449849650421,2.619449849650421
32,2.6171853059971717,2.6171853059971717
33,4.184245226499277,4.184245226499277
34,3.525358639618382,3.525358639618382
35,3.274831858563043,3.274831858563043
36,4.347924318178775,4.347924318178775
37,2.8831923344917305,2.8831923344917305
38,2.7532142513872784,2.7532142513872784
39,2.508134580501473,2.508134580501473
40,3.6205829208711005,3.6205829208711005
41,2.9269946230933663,2.9269946230933663
42,2.885574509680822,2.885574509680822
43,2.787894219147872,2.787894219147872
44,2.920387617038147,2.920387617038147
45,3.1463218930518297,3.1463218930518297
46,2.9053253026317876,2.9053253026317876
47,2.5582772601577597,2.5582772601577597
48,3.2142608085474875,3.2142608085474875
49,2.2843649361698093,2.2843649361698093
50,2.4903424122047393,2.4903424122047393
51,2.653129991761117,2.653129991761117
52,2.2685571959697057,2.2685571959697057
53,2.4060217447861727,2.4060217447861727
54,2.2388298730364085,2.2388298730364085
55,2.2924053471637422,2.2924053471637422
56,3.8237964577539914,3.8237964577539914
57,2.5017447902567715,2.5017447902567715
58,3.094030554044716,3.094030554044716
59,4.174145845912737,4.174145845912737
60,2.4517390739998457,2.4517390739998457
61,3.0497405890802596,3.0497405890802596
62,3.3304615057293026,3.3304615057293026
63,2.6222742847088703,2.6222742847088703
64,3.80748253380783,3.80748253380783
65,3.1420111083750197,3.1420111083750197
66,3.839614826496406,3.839614826496406
67,3.5544321994008476,3.5544321994008476
68,2.900531708116872,2.900531708116872
69,2.6450226456318786,2.6450226456318786
70,2.525223145842656,2.525223145842656
71,3.1790828733119025,3.1790828733119025
72,3.354651467117081,3.354651467117081
73,2.5244607379832695,2.5244607379832695
74,3.1276658125587935,3.1276658125587935
75,2.6694275971484673,2.6694275971484673
76,3.646644062844845,3.646644062844845
77,3.7205981691462844,3.7205981691462844
78,2.6396846814426445,2.6396846814426445
79,2.552932958945043,2.552932958945043
80,4.165761522502825,4.165761522502825
81,3.1490993255639124,3.1490993255639124
82,3.063841055702955,3.063841055702955
83,4.2524545660234745,4.2524545660234745
84,2.627876702858281,2.627876702858281
85,2.6618672642589876,2.6618672642589876
86,2.414612580377185,2.414612580377185
87,2.5741659165564132,2.5741659165564132
88,2.36568005153113,2.36568005153113
89,2.2969687346817884,2.2969687346817884
90,2.3229367602842026,2.3229367602842026
91,2.813429244575404,2.813429244575404
92,5.551862587212483,5.551862587212483
93,2.465217175972381,2.465217175972381
94,2.5005433854187817,2.5005433854187817
95,2.980432493100568,2.980432493100568
96,4.171887020363064,4.171887020363064
97,2.4077173472712436,2.4077173472712436
98,2.339067380525995,2.339067380525995
99,3.8028810268926247,3.8028810268926247
100,3.157233153689929,3.157233153689929
101,2.3704102183031504,2.3704102183031504
102,2.20671004412928,2.20671004412928
103,2.789039980108512,2.789039980108512
104,2.6252220302595903,2.6252220302595903
105,2.271398395390958,2.271398395390958
106,2.34320231587908,2.34320231587908
107,4.0712633024623,4.0712633024623
108,2.284647539401178,2.284647539401178
109,2.9919285212725506,2.9919285212725506
110,2.592929545611876,2.592929545611876
111,2.401163896225669,2.401163896225669
112,2.341896314610326,2.341896314610326
113,2.643949801122297,2.643949801122297
114,2.2217063428533983,2.2217063428533983
115,2.2503964276678725,2.2503964276678725
116,2.731509155263205,2.731509155263205
117,2.280986303283331,2.280986303283331
118,2.674865472404559,2.674865472404559
119,2.244058709807559,2.244058709807559
120,2.6481810746396954,2.6481810746396954
121,2.2056231403099607,2.2056231403099607
122,2.346174607953756,2.346174607953756
123,4.451601390140896,4.451601390140896
124,2.6537283485174603,2.6537283485174603
125,2.4529722377319327,2.4529722377319327
126,2.7274774402104613,2.7274774402104613
127,2.2956765766659784,2.2956765766659784
