Channel,RMS,Sigma
0,9.49367271334025,2.2193489106567226
1,2.5240382714650798,2.5240382714650798
2,3.840125242321308,3.840125242321308
3,2.2708429013029288,2.2708429013029288
4,2.5659861939108275,2.5659861939108275
5,2.2857496171986558,2.2857496171986558
6,2.492269253160616,2.492269253160616
7,3.386136884068133,3.386136884068133
8,2.3446897177877277,2.3446897177877277
9,2.2274474626875636,2.2274474626875636
10,2.5876980639527076,2.5876980639527076
11,2.2798418851946245,2.2798418851946245
12,3.800573831764218,3.800573831764218
13,2.238782464161043,2.238782464161043
14,2.526347115120379,2.526347115120379
15,3.734609075011519,3.734609075011519
16,2.6567983858961317,2.6567983858961317
17,2.900662879194794,2.900662879194794
18,2.7231697932315773,2.7231697932315773
19,2.796637516365265,2.796637516365265
20,2.860697821356874,2.860697821356874
21,2.648946731121803,2.648946731121803
22,4.395298872399759,4.395298872399759
23,2.663680903258217,2.663680903258217
24,2.77529774611077,2.77529774611077
25,2.7674944443798934,2.7674944443798934
26,2.8260968617369815,2.8260968617369815
27,2.668986494832171,2.668986494832171
28,2.836846744440997,2.836846744440997
29,2.9222788542072453,2.9222788542072453
30,2.7359147474644825,2.7359147474644825
31,2.658792580217375,2.658792580217375
32,3.0458596459126324,3.0458596459126324
33,2.8341672843220946,2.8341672843220946
34,2.9219849627535295,2.9219849627535295
35,4.064248134928955,4.064248134928955
36,2.8247503702590038,2.8247503702590038
37,3.1201396554324035,3.1201396554324035
38,3.549727101973066,3.549727101973066
39,3.3986356632026,3.3986356632026
40,2.74253525700427,2.74253525700427
41,3.927056503710006,3.927056503710006
42,2.734691423100985,2.734691423100985
43,3.511443106703441,3.511443106703441
44,3.3147284608042664,3.3147284608042664
45,3.1316596683931763,3.1316596683931763
46,2.835721703200306,2.835721703200306
47,2.881003267409442,2.881003267409442
48,2.8232967620361817,2.8232967620361817
49,2.8651819513532817,2.8651819513532817
50,2.8057427083343605,2.8057427083343605
51,2.943848226822697,2.943848226822697
52,3.060976009973877,3.060976009973877
53,3.6983012438867395,3.6983012438867395
54,2.783996505811945,2.783996505811945
55,2.82382647999868,2.82382647999868
56,2.799745322561028,2.799745322561028
57,3.20963953852963,3.20963953852963
58,3.029267491373107,3.029267491373107
59,2.9549814550107776,2.9549814550107776
60,3.009026478728263,3.009026478728263
61,2.97197560590735,2.97197560590735
62,3.063497351411096,3.063497351411096
63,3.1943055893577257,3.1943055893577257
64,2.7427565540477072,2.7427565540477072
65,2.7218573986441985,2.7218573986441985
66,2.7337766596082855,2.7337766596082855
67,2.8009829520330776,2.8009829520330776
68,2.7388673749542685,2.7388673749542685
69,2.8363664827782022,2.8363664827782022
70,2.775861969044822,2.775861969044822
71,3.5724379012905265,3.5724379012905265
72,3.408674074684883,3.408674074684883
73,3.055951712340541,3.055951712340541
74,3.2767410126878964,3.2767410126878964
75,2.903119189645268,2.903119189645268
76,3.206740954592921,3.206740954592921
77,2.942376116867879,2.942376116867879
78,3.0579194485893306,3.0579194485893306
79,2.8366595966235724,2.8366595966235724
80,3.899540717009918,3.899540717009918
81,3.2820907362568987,3.2820907362568987
82,3.170872111931593,3.170872111931593
83,3.021528148755534,3.021528148755534
84,2.9145758436955873,2.9145758436955873
85,2.7248221507354216,2.7248221507354216
86,2.5041987052192485,2.5041987052192485
87,2.5589381560813433,2.5589381560813433
88,2.620948698491978,2.620948698491978
89,2.5038097355704227,2.5038097355704227
90,2.4745622836966628,2.4745622836966628
91,2.6799105734116844,2.6799105734116844
92,2.6289022950098593,2.6289022950098593
93,2.5018897035075676,2.5018897035075676
94,2.5897548508490797,2.5897548508490797
95,2.7662609221336907,2.7662609221336907
96,3.7166667298291185,3.7166667298291185
97,2.4659896503513816,2.4659896503513816
98,2.7185133712861833,2.7185133712861833
99,2.506038404387401,2.506038404387401
100,4.06183919957151,4.06183919957151
101,2.6420070496163652,2.6420070496163652
102,2.5912178370678824,2.5912178370678824
103,2.6456295832274863,2.6456295832274863
104,2.4289117023115296,2.4289117023115296
105,2.643852900350999,2.643852900350999
106,2.4782467769771404,2.4782467769771404
107,2.452164534108101,2.452164534108101
108,2.6996971119156967,2.6996971119156967
109,2.48448668438164,2.48448668438164
110,2.643889770778168,2.643889770778168
111,3.910056495461226,3.910056495461226
112,3.7182550992042995,3.7182550992042995
113,3.2674594650036877,3.2674594650036877
114,2.7861895185552426,2.7861895185552426
115,2.9203870164676315,2.9203870164676315
116,4.391452141998687,4.391452141998687
117,2.737907628714718,2.737907628714718
118,2.73167342777089,2.73167342777089
119,2.819499163234779,2.819499163234779
120,2.770383349857526,2.770383349857526
121,2.7023445772783483,2.7023445772783483
122,2.7738757903428253,2.7738757903428253
123,2.9459935130723145,2.9459935130723145
124,2.7663857262275338,2.7663857262275338
125,2.7562600837240123,2.7562600837240123
126,2.758250635752665,2.758250635752665
127,2.9844656443498176,2.9844656443498176
