Channel,RMS,Sigma
0,7.073097220058975,2.464156837086388
1,2.9292964920634526,2.9292964920634526
2,2.452775367528442,2.452775367528442
3,3.1116317817699857,3.1116317817699857
4,2.9733460340742712,2.9733460340742712
5,2.8698647858155644,2.8698647858155644
6,2.3960441307274754,2.3960441307274754
7,3.9268120759560223,3.9268120759560223
8,2.514634622652831,2.514634622652831
9,2.375764171482676,2.375764171482676
10,2.739391019670608,2.739391019670608
11,2.573394427999793,2.573394427999793
12,3.9432487950783726,3.9432487950783726
13,2.669811077194065,2.669811077194065
14,2.4436461056097767,2.4436461056097767
15,2.6085150625254774,2.6085150625254774
16,2.8003508363530423,2.8003508363530423
17,2.8218569242710916,2.8218569242710916
18,2.3146129988301114,2.3146129988301114
19,2.735914936519529,2.735914936519529
20,2.6173305411998626,2.6173305411998626
21,2.3237789338059756,2.3237789338059756
22,4.5329896550339965,4.5329896550339965
23,3.030412222414268,3.030412222414268
24,2.7903053759275953,2.7903053759275953
25,2.9634932857904905,2.9634932857904905
26,2.2177316066340973,2.2177316066340973
27,3.293697383543992,3.293697383543992
28,2.912967645017542,2.912967645017542
29,3.1057174350173824,3.1057174350173824
30,3.6097733002598136,3.6097733002598136
31,3.2904339460124947,3.2904339460124947
32,2.6356776860650113,2.6356776860650113
33,2.4087784937266634,2.4087784937266634
34,2.783280855241845,2.783280855241845
35,2.3308208830433332,2.3308208830433332
36,2.9777550412503055,2.9777550412503055
37,2.767172089986564,2.767172089986564
38,4.001042510125951,4.001042510125951
39,2.4941141705173333,2.4941141705173333
40,2.6368715194155157,2.6368715194155157
41,2.26931030086246,2.26931030086246
42,2.3450594832056555,2.3450594832056555
43,3.4235593829447333,3.4235593829447333
44,2.4878435131598815,2.4878435131598815
45,2.4848352491012426,2.4848352491012426
46,3.0267065732658263,3.0267065732658263
47,2.5959739182240478,2.5959739182240478
48,2.6957475479911124,2.6957475479911124
49,2.553438903894145,2.553438903894145
50,2.234240908668197,2.234240908668197
51,4.466464419343332,4.466464419343332
52,2.1695364665993355,2.1695364665993355
53,2.6754740182233916,2.6754740182233916
54,2.382586426017189,2.382586426017189
55,3.0121025726959405,3.0121025726959405
56,3.6756402699308834,3.6756402699308834
57,2.2582546671414323,2.2582546671414323
58,4.3488445524582096,4.3488445524582096
59,2.490456990712738,2.490456990712738
60,2.57281555278197,2.57281555278197
61,3.689395360116484,3.689395360116484
62,2.509999352025984,2.509999352025984
63,2.908894895560445,2.908894895560445
64,3.0666852014384967,3.0666852014384967
65,3.8355651559259294,3.8355651559259294
66,2.572570229542513,2.572570229542513
67,4.430499407586693,4.430499407586693
68,2.8744275224464704,2.8744275224464704
69,3.7413435284261607,3.7413435284261607
70,2.3318513808676666,2.3318513808676666
71,2.653244534367967,2.653244534367967
72,2.4103272304123697,2.4103272304123697
73,2.4545216046897784,2.4545216046897784
74,2.985417488477814,2.985417488477814
75,2.515110182993786,2.515110182993786
76,2.827032325327405,2.827032325327405
77,2.693632117005728,2.693632117005728
78,2.5191661152141123,2.5191661152141123
79,4.491286316731265,4.491286316731265
80,3.6790372738310797,3.6790372738310797
81,3.3841472499746614,3.3841472499746614
82,3.6528429514484,3.6528429514484
83,3.026922961481048,3.026922961481048
84,2.8553425263659933,2.8553425263659933
85,2.9532767982645804,2.9532767982645804
86,2.3478071152386994,2.3478071152386994
87,2.3220388812165846,2.3220388812165846
88,2.3187863694059403,2.3187863694059403
89,2.3327950042034353,2.3327950042034353
90,3.1175976123901634,3.1175976123901634
91,2.4257819272286523,2.4257819272286523
92,2.4942922212896246,2.4942922212896246
93,2.797232614161693,2.797232614161693
94,3.077678981917976,3.077678981917976
95,2.7972604843040196,2.7972604843040196
96,3.8788800608086165,3.8788800608086165
97,2.7089935595477144,2.7089935595477144
98,2.3145110116535084,2.3145110116535084
99,2.3262758036539815,2.3262758036539815
100,2.312160767139796,2.312160767139796
101,2.2830117384894932,2.2830117384894932
102,2.937878129725578,2.937878129725578
103,3.5328197610384704,3.5328197610384704
104,4.38609739537937,4.38609739537937
105,2.404957439347025,2.404957439347025
106,2.2985994771551743,2.2985994771551743
107,2.9175123966191245,2.9175123966191245
108,2.792851422502658,2.792851422502658
109,2.3558604876891986,2.3558604876891986
110,3.0475252883095303,3.0475252883095303
111,2.4726681025066277,2.4726681025066277
112,2.8797225133744297,2.8797225133744297
113,6.375553336452751,6.375553336452751
114,3.1701159293156596,3.1701159293156596
115,2.7611007706536794,2.7611007706536794
116,3.5516644916695466,3.5516644916695466
117,2.730431983129823,2.730431983129823
118,3.0677771231098316,3.0677771231098316
119,3.9505778618199416,3.9505778618199416
120,3.0602411591316443,3.0602411591316443
121,2.9015659898964237,2.9015659898964237
122,2.9951966875247242,2.9951966875247242
123,2.8587463287229786,2.8587463287229786
124,4.5847769187337715,4.5847769187337715
125,3.2944750284324043,3.2944750284324043
126,3.836948625797415,3.836948625797415
127,2.8843717624360132,2.8843717624360132
