Channel,RMS,Sigma
0,9.624092992590006,2.310517174570053
1,2.515368676508901,2.515368676508901
2,2.2563435092772797,2.2563435092772797
3,2.468047394243868,2.468047394243868
4,2.1989024896902905,2.1989024896902905
5,2.187004699127484,2.187004699127484
6,2.741756886674391,2.741756886674391
7,2.1387474090304086,2.1387474090304086
8,2.274380455198074,2.274380455198074
9,2.9002342022509326,2.9002342022509326
10,2.2109001222505085,2.2109001222505085
11,2.2937176042015635,2.2937176042015635
12,2.6566082511154434,2.6566082511154434
13,3.231986808213991,3.231986808213991
14,2.5837597139996533,2.5837597139996533
15,2.3661663764568797,2.3661663764568797
16,3.45734814412601,3.45734814412601
17,3.1607900459044287,3.1607900459044287
18,2.128536252007627,2.128536252007627
19,2.2399117922003873,2.2399117922003873
20,1.9868084538938178,1.9868084538938178
21,2.3135502933843495,2.3135502933843495
22,2.1318964622352086,2.1318964622352086
23,3.2049438644191386,3.2049438644191386
24,3.7189249113953924,3.7189249113953924
25,2.0411327263366044,2.0411327263366044
26,2.692231974593269,2.692231974593269
27,2.0107380732118805,2.0107380732118805
28,2.7678539786051464,2.7678539786051464
29,2.0856058390310444,2.0856058390310444
30,2.388648106678642,2.388648106678642
31,2.3145832489849822,2.3145832489849822
32,2.8304186508900004,2.8304186508900004
33,2.477525569900141,2.477525569900141
34,2.841455641587733,2.841455641587733
35,2.8803621905706858,2.8803621905706858
36,2.429507556858173,2.429507556858173
37,2.436744249752521,2.436744249752521
38,2.434029005066643,2.434029005066643
39,2.752283808491384,2.752283808491384
40,2.377703682260428,2.377703682260428
41,2.5654556587703925,2.5654556587703925
42,3.33916738849986,3.33916738849986
43,2.542826667083231,2.542826667083231
44,2.472565041516259,2.472565041516259
45,2.6501609825775834,2.6501609825775834
46,2.6717099017461607,2.6717099017461607
47,2.5520504721219375,2.5520504721219375
48,2.2577032446941487,2.2577032446941487
49,2.302510461414916,2.302510461414916
50,2.2815564414660257,2.2815564414660257
51,2.551603146641112,2.551603146641112
52,2.1055798911526513,2.1055798911526513
53,2.131810379110818,2.131810379110818
54,2.3595574586132364,2.3595574586132364
55,2.219658806285163,2.219658806285163
56,2.699016574521432,2.699016574521432
57,2.295809354473016,2.295809354473016
58,2.2554246218826752,2.2554246218826752
59,2.58535790008855,2.58535790008855
60,2.6509646677144945,2.6509646677144945
61,2.532750097521589,2.532750097521589
62,2.4785930696168776,2.4785930696168776
63,2.5676417812266803,2.5676417812266803
64,2.930092836926541,2.930092836926541
65,2.261789866324959,2.261789866324959
66,2.0798686475071677,2.0798686475071677
67,2.418560836456038,2.418560836456038
68,2.4949955673426887,2.4949955673426887
69,3.5803496192765163,3.5803496192765163
70,2.506821939140389,2.506821939140389
71,2.063848407297302,2.063848407297302
72,2.73357884086911,2.73357884086911
73,2.0814670620505007,2.0814670620505007
74,2.0997396822937726,2.0997396822937726
75,2.111196602753646,2.111196602753646
76,2.7944410693200457,2.7944410693200457
77,2.150425959371639,2.150425959371639
78,2.1879090359451396,2.1879090359451396
79,4.376582708076799,4.376582708076799
80,3.8790519363448386,3.8790519363448386
81,3.3791012092344905,3.3791012092344905
82,3.1513991683195606,3.1513991683195606
83,2.9527604040918765,2.9527604040918765
84,2.689505944535385,2.689505944535385
85,2.5209442310946706,2.5209442310946706
86,3.4509184805278648,3.4509184805278648
87,2.389471441806528,2.389471441806528
88,2.321691140523158,2.321691140523158
89,2.510984948407121,2.510984948407121
90,2.3574054221545895,2.3574054221545895
91,2.2980154518506675,2.2980154518506675
92,2.62294927260058,2.62294927260058
93,3.0790182444544056,3.0790182444544056
94,2.6118473038946464,2.6118473038946464
95,2.55659769243199,2.55659769243199
96,2.200976035520863,2.200976035520863
97,2.1640897642883576,2.1640897642883576
98,3.0904952593960764,3.0904952593960764
99,2.765973510929052,2.765973510929052
100,2.6390340578002025,2.6390340578002025
101,2.129778873834007,2.129778873834007
102,2.299303443217807,2.299303443217807
103,2.731004793162593,2.731004793162593
104,2.221671924921494,2.221671924921494
105,2.216547084676666,2.216547084676666
106,4.098970597152754,4.098970597152754
107,2.5180379870446847,2.5180379870446847
108,2.3355760127220035,2.3355760127220035
109,2.4817094407058433,2.4817094407058433
110,2.208711111171679,2.208711111171679
111,2.464244515938727,2.464244515938727
112,207.34199375067155,36.28679172170084
113,210.67478075612848,35.06647348601863
114,209.4095491242854,36.33498336668243
115,209.49856940995986,35.79827572609852
116,203.1351327356641,35.88145601841658
117,200.2608133961465,35.61460709578589
118,207.53096898675687,34.90984520397023
119,205.48102830510055,34.241706735706444
120,202.24201972563696,34.16726928351906
121,205.1615226814722,34.62990537933677
122,205.89135779826526,34.37127724641163
123,199.41867063834036,34.7097362008461
124,205.95891127917378,33.01398780057283
125,203.15537411989172,34.52185314865947
126,205.53282085638253,34.65965059201303
127,200.78122809487752,34.375902540127754
