Channel,RMS,Sigma,Mean,Rate,PED_Mean,PED_Sigma,P1,P0,P1_err,P0_err,Time,Gain,Gain_err,Rate_err
0,36.28565800430063,20.28940899050059,140.64014918749146,396.54333333333335,83.8,2.4,120.0,-4.2,3.5,3.2,1999.1274453249998,3.1791744368485135,0.1907492142675383,0.8129609803401117
1,59.7765508060612,25.404500175363292,130.53370961706375,111.85666666666667,76.6,2.4,131.6,-10.1,6.4,5.5,1294.459110075,3.041114628469973,0.3002440078278314,0.431772831217734
2,46.90254305007944,15.661089184462995,131.3616993435544,157.79833333333335,81.7,2.5,118.6,0.1,1.2,1.0,749.211670325,2.6118096197067024,0.05907563909578894,0.5128325479357001
3,53.4131615164285,18.14076564007121,135.54189989454045,171.52666666666667,76.4,2.5,123.3,-1.2,3.0,2.7,641.844430325,3.0586932225537535,0.15583977979781732,0.5346753947749773
4,50.63191280931715,11.91339516143042,123.44948191918772,659.43,79.0,2.4,112.7,3.2,1.6,1.7,630.1087556499999,2.287571091348032,0.09972495522476987,1.0483558556139227
5,28.977530650878577,12.444887723793993,125.89760566425251,622.81,76.4,2.3,115.4,5.4,2.9,2.0,628.4326231,2.388301866564802,0.12384496753682561,1.018831029497368
6,59.10656969817709,20.274694985008104,140.23656224088828,98.56,78.2,2.4,119.2,-0.5,2.4,1.9,643.5187289249999,3.278972432932481,0.1196742993489213,0.4052982440952177
7,66.13174282126081,14.087141994311743,121.63200335741479,116.79,79.3,2.5,123.1,-4.0,1.7,2.1,995.834729975,2.352355978747705,0.11152574765897787,0.4411915683691156
8,43.407254432555625,15.562290818820665,137.38642729323894,176.85333333333332,85.1,2.3,127.3,-3.3,3.1,2.1,630.1011969499999,2.72910581761778,0.12271138985619456,0.5429139485733956
9,60.80289934814375,17.083991277172153,133.61221802557262,101.82166666666667,76.9,2.6,123.6,-5.8,1.9,1.6,618.36107205,3.1610142610018515,0.09450730376201726,0.4119499699936605
10,49.09925569567965,16.257615093390342,131.33243873465617,157.17833333333334,75.1,2.5,122.7,-2.7,1.5,1.6,616.678167275,3.0018560887661048,0.08946253034998146,0.5118240800205563
11,60.422860540754456,19.94232582099714,137.2962563641809,118.51833333333333,73.3,2.7,114.8,0.4,2.8,2.2,631.780486225,3.4623397410812773,0.14666478937917904,0.4444440972220866
12,43.40992870709571,17.570132149562863,134.51838313362657,226.02166666666668,73.6,2.6,126.5,-2.6,5.0,3.2,625.0781748249999,3.138260036246372,0.20098269029734614,0.6137611732406815
13,59.50485563948482,20.477869145125567,141.63796733212342,98.30166666666666,74.1,2.5,118.8,2.8,3.1,2.0,625.0725669999999,3.4058274059408373,0.1378739234509741,0.40476673666583707
14,39.326574331694815,15.004089489699838,128.2119919484917,255.355,75.2,2.3,117.2,-4.0,3.8,3.1,630.1065625499999,3.040315270290725,0.19249688616936253,0.6523738703126196
15,31.9518770510594,19.917219161528244,142.77201382810074,839.7683333333333,77.0,2.7,127.1,-6.1,2.9,2.7,933.7800715249999,3.5342256996509014,0.15535200572855212,1.1830527836444529
16,59.932254156416214,15.655902107691686,155.1183251486172,136.60166666666666,100.5,2.1,129.9,5.5,5.9,7.1,942.1552014749999,2.363275844333006,0.3580953253440118,0.477147193688116
17,58.866937685056364,17.22022200118621,158.85558459837137,143.77,92.0,2.4,130.7,3.2,4.8,6.4,628.4343522,3.043974014841783,0.32584695817635867,0.48950655426323625
18,35.341180802230134,13.236985130715231,147.88946140524138,473.90166666666664,100.3,2.2,129.6,-2.4,2.3,2.4,630.1113185999999,2.4107572051138786,0.12340672485050111,0.8887272422465236
19,44.17195931064143,15.882702152871232,155.41652686633444,280.78833333333336,103.4,2.2,134.0,-3.1,4.0,3.8,623.400463675,2.5707335292133595,0.19315513209850046,0.6840910433235883
20,51.188571990729,17.892238177470965,163.85819886204646,160.35166666666666,98.9,2.2,138.3,-9.6,5.1,4.0,650.23141895,3.369405226954376,0.21938237370712294,0.5169649676503987
21,53.489916068837324,16.68430143122584,162.16106281777923,154.435,100.0,2.3,126.5,-1.7,3.3,3.7,625.0567325999999,3.1551908506807917,0.20051874953220988,0.507337823019994
22,65.26422347025047,17.99899230042455,162.55282078593982,98.93333333333334,97.5,2.4,122.1,3.9,6.3,5.7,633.4534270500001,3.1302631442434383,0.33353317711425545,0.4060651288757616
23,59.75902604791461,17.547916673555704,160.0990737995151,207.26,94.3,2.3,146.8,-7.0,6.4,4.6,984.1021200499999,3.099415607949383,0.23795542658964328,0.5877357682950165
24,41.176546468751226,15.764692048966804,156.97929994756163,264.195,96.8,2.2,132.3,4.8,4.4,6.1,641.8526579,2.6161800806671214,0.3010313713920027,0.6635698908178399
25,34.15885243666381,16.226770621806082,157.0968102607197,480.55,92.5,2.4,135.1,1.2,1.5,2.2,626.757008475,2.932865019463347,0.10687718973518981,0.8949394765383113
26,57.45636799280255,12.557844403082028,139.42285947129832,136.72666666666666,97.7,2.1,131.6,-5.6,3.2,3.2,630.080190625,2.24747622869008,0.16152994420666558,0.4773654551575531
27,35.447239239107866,17.325669679478853,158.7711193001839,497.735,95.0,2.3,141.5,-6.4,3.8,3.2,623.399495525,3.0994310644957555,0.1640422952188429,0.9108009295852377
