Channel,RMS,Sigma,Mean,Rate,PED_Mean,PED_Sigma,P1,P0,P1_err,P0_err,Time,Gain,Gain_err,Rate_err
0,37.15312345107485,19.662414066517094,144.4608081926377,368.0933333333333,84.9,2.5,129.0,-5.0,5.4,5.0,1938.8075527999997,3.1279461333642296,0.27538504064609226,0.7832553152637325
1,64.48338439879049,25.27064016631513,137.50183648483198,103.63166666666666,80.8,2.5,119.0,4.2,7.1,6.0,1237.5095112000001,2.7574493952117636,0.35556723842981003,0.4155952892471767
2,53.45895739959261,15.419176030831725,135.13324590911682,121.96666666666667,80.8,2.4,118.1,2.5,4.8,4.0,766.0830508749999,2.7430803296526687,0.23928757376586784,0.45086336930136367
3,55.55522203272296,16.721166280922056,143.02646351242984,157.1,87.8,2.5,125.4,0.3,3.8,3.4,645.2893634,2.737562974104358,0.1887129140540802,0.5116965246445723
4,54.4432045210748,10.969315815239154,129.97470415127418,551.555,83.4,2.5,119.5,3.6,3.5,3.8,615.0920543499999,2.2476309702549253,0.20936832100257258,0.9587796062356214
5,30.483766559771002,11.340544765868735,128.8991660108152,531.535,80.8,2.5,117.1,5.8,3.5,2.4,623.4784925,2.2576412260255774,0.14479004773972412,0.9412181822864807
6,60.56850554847236,18.54322920989285,149.25050278465346,93.05,82.8,2.7,121.8,1.4,4.2,3.4,638.5452470749999,3.3379773596394426,0.20909337294846192,0.39380621291865536
7,69.67093529941467,12.999862545934318,130.151631054393,96.38166666666666,85.7,2.4,127.1,-4.9,2.9,3.5,938.8720797499999,2.426811125806107,0.1808359698497804,0.40079435014869047
8,45.28956076944672,14.028429607074088,141.94217738292426,160.42666666666668,87.3,2.3,117.5,7.1,3.0,2.1,630.175821525,2.528839222495971,0.12906511166760928,0.5170858514577418
9,60.68580912065752,15.421408282891488,143.49025457438344,89.75166666666667,86.2,2.3,125.3,-1.8,4.6,3.9,616.7148932,2.947438875418168,0.22265204200014233,0.38676363726585145
10,52.753516775603956,14.97700277402069,136.36778555331514,146.56166666666667,82.7,2.5,125.1,-1.3,3.7,4.0,613.3980081,2.746192323806712,0.21574515421149873,0.49423622332286055
11,63.37389499930274,17.922047299031544,148.2831960885229,112.05166666666666,85.7,2.4,114.6,3.9,3.9,3.1,610.048481475,3.2004360868522532,0.20118333851213901,0.4321490226504947
12,45.55494413224979,15.82320905200707,142.3265974147433,206.37833333333333,82.7,2.5,111.4,6.0,3.0,2.0,618.4452775,3.008673553340625,0.13844965105956675,0.5864843466699592
