GCUId	Chn	Mean_Ping_HG	Mean_Pong_HG	RMS_Ping_HG	RMS_Pong_HG	Mean_Ping_LG	Mean_Pong_LG	RMS_Ping_LG	RMS_Pong_LG	Length	x	y	z
8100	65	74.0985	80.2451	2.21865	2.19312	0	0	0	0	0	0	0	0
8100	66	74.2658	73.0113	2.23094	2.22878	0	0	0	0	0	0	0	0
8100	67	77.1292	77.0298	2.17748	2.19934	0	0	0	0	0	0	0	0
8100	68	79.8617	75.0245	2.1896	2.24208	0	0	0	0	0	0	0	0
8100	69	74.9685	76.7027	2.22277	2.20371	0	0	0	0	0	0	0	0
8100	70	75.1448	77.454	2.204	2.17588	0	0	0	0	0	0	0	0
8100	71	74.7858	75.1974	2.20689	2.20177	0	0	0	0	0	0	0	0
8100	72	76.1378	75.1113	2.28295	2.31053	0	0	0	0	0	0	0	0
8100	73	78.3371	74.5276	2.27266	2.28478	0	0	0	0	0	0	0	0
8100	74	74.7839	76.8336	2.23694	2.21243	0	0	0	0	0	0	0	0
8100	75	77.3161	76.4416	2.27275	2.30333	0	0	0	0	0	0	0	0
8100	76	74.9784	79.7267	2.32177	2.30054	0	0	0	0	0	0	0	0
8100	77	78.6503	73.3199	2.25983	2.32868	0	0	0	0	0	0	0	0
8100	78	74.9064	74.5544	2.3442	2.38196	0	0	0	0	0	0	0	0
8100	79	73.3296	78.0476	2.42547	2.39058	0	0	0	0	0	0	0	0
8100	80	72.029	80.2189	4.2502	4.1111	0	0	0	0	0	0	0	0
8100	81	75.9685	80.7702	3.55471	3.53773	0	0	0	0	0	0	0	0
8100	82	78.4163	85.1141	3.44763	3.3625	0	0	0	0	0	0	0	0
8100	83	77.6554	76.5596	2.99677	2.99772	0	0	0	0	0	0	0	0
8100	84	82.3681	83.5493	3.09594	3.05545	0	0	0	0	0	0	0	0
8100	85	77.4086	80.6432	2.75229	2.75353	0	0	0	0	0	0	0	0
8100	86	79.4097	82.4352	2.89105	2.84095	0	0	0	0	0	0	0	0
8100	87	73.406	76.617	2.74319	2.76162	0	0	0	0	0	0	0	0
8100	88	76.2352	80.4999	2.77811	2.76618	0	0	0	0	0	0	0	0
8100	89	79.8917	79.4246	2.77711	2.80282	0	0	0	0	0	0	0	0
8100	90	74.5787	76.4079	2.77808	2.79237	0	0	0	0	0	0	0	0
8100	91	75.1519	79.4796	2.77126	2.78576	0	0	0	0	0	0	0	0
8100	92	80.0434	76.0003	2.94761	2.9685	0	0	0	0	0	0	0	0
8100	93	80.5995	79.0483	2.87607	2.9523	0	0	0	0	0	0	0	0
8100	94	77.5638	81.9104	3.68675	3.65603	0	0	0	0	0	0	0	0
8100	95	77.79	76.8389	2.96481	2.96209	0	0	0	0	0	0	0	0
8100	96	71.2219	76.7485	2.79343	2.79946	0	0	0	0	0	0	0	0
8100	97	76.1775	82.2836	2.60463	2.61087	0	0	0	0	0	0	0	0
8100	98	75.7358	77.4761	2.56912	2.60103	0	0	0	0	0	0	0	0
8100	99	71.4098	72.8245	2.6191	2.6499	0	0	0	0	0	0	0	0
8100	100	79.3687	79.3039	2.64452	2.63404	0	0	0	0	0	0	0	0
8100	101	72.3831	75.2277	2.70728	2.72561	0	0	0	0	0	0	0	0
8100	102	76.4329	75.0955	2.65106	2.67963	0	0	0	0	0	0	0	0
8100	103	76.7972	75.9998	2.56936	2.61609	0	0	0	0	0	0	0	0
8100	104	72.5385	70.801	2.60681	2.62809	0	0	0	0	0	0	0	0
8100	105	72.7444	72.9553	2.63781	2.63653	0	0	0	0	0	0	0	0
8100	106	71.6236	75.3999	2.60573	2.65802	0	0	0	0	0	0	0	0
8100	107	68.548	70.1325	2.72049	2.73934	0	0	0	0	0	0	0	0
8100	108	69.6025	72.3078	2.70178	2.70579	0	0	0	0	0	0	0	0
8100	109	68.0907	75.9678	2.74096	2.73233	0	0	0	0	0	0	0	0
8100	110	69.3729	68.5344	2.63919	2.66196	0	0	0	0	0	0	0	0
8100	111	71.572	73.9092	2.71252	2.6957	0	0	0	0	0	0	0	0
8100	112	72.4963	73.5657	2.68866	2.65266	0	0	0	0	0	0	0	0
8100	113	70.6062	75.97	2.47329	2.4169	0	0	0	0	0	0	0	0
8100	114	73.58	72.3461	2.51154	2.51809	0	0	0	0	0	0	0	0
8100	115	73.1628	72.5452	2.54162	2.54289	0	0	0	0	0	0	0	0
8100	116	71.7829	73.3052	2.63389	2.61669	0	0	0	0	0	0	0	0
8100	117	77.8544	73.6861	2.47743	2.50056	0	0	0	0	0	0	0	0
8100	118	75.3825	73.7591	2.45879	2.48758	0	0	0	0	0	0	0	0
8100	119	73.5421	72.1922	2.50694	2.51888	0	0	0	0	0	0	0	0
8100	120	71.0483	76.1928	2.63523	2.58779	0	0	0	0	0	0	0	0
8100	121	77.6907	72.2251	2.43209	2.45191	0	0	0	0	0	0	0	0
8100	122	68.2832	72.7993	2.60693	2.61831	0	0	0	0	0	0	0	0
8100	123	73.4662	71.2754	2.53706	2.54709	0	0	0	0	0	0	0	0
8100	124	75.632	68.8077	2.55935	2.61373	0	0	0	0	0	0	0	0
8100	125	69.9556	69.972	2.48	2.49096	0	0	0	0	0	0	0	0
8100	126	75.041	71.0036	3.05574	3.07854	0	0	0	0	0	0	0	0
8100	127	72.5065	68.1898	2.53602	2.53065	0	0	0	0	0	0	0	0
8045	0	81.7873	76.1771	2.56786	2.6135	0	0	0	0	0	0	0	0
8045	1	85.2162	86.6867	2.33166	2.41092	0	0	0	0	0	0	0	0
8045	2	89.5412	78.8336	2.6349	2.60401	0	0	0	0	0	0	0	0
8045	3	82.751	78.8665	2.58271	2.623	0	0	0	0	0	0	0	0
8045	4	81.8661	74.4629	2.5809	2.63642	0	0	0	0	0	0	0	0
8045	5	78.4158	74.3983	2.60339	2.62223	0	0	0	0	0	0	0	0
8045	6	81.9226	86.777	2.54184	2.54229	0	0	0	0	0	0	0	0
8045	7	77.9826	81.6097	2.48761	2.45339	0	0	0	0	0	0	0	0
8045	8	78.4966	78.525	2.58373	2.5839	0	0	0	0	0	0	0	0
8045	9	80.9639	83.8271	2.92102	2.8455	0	0	0	0	0	0	0	0
8045	10	79.0272	79.0945	2.49251	2.49229	0	0	0	0	0	0	0	0
8045	11	86.3862	76.4178	2.52322	2.59741	0	0	0	0	0	0	0	0
8045	12	76.2739	75.901	2.5575	2.56323	0	0	0	0	0	0	0	0
8045	13	75.6805	76.5063	2.44923	2.49154	0	0	0	0	0	0	0	0
8045	14	75.7762	78.2123	2.37943	2.37791	0	0	0	0	0	0	0	0
8045	15	80.8322	80.3355	2.47007	2.46445	0	0	0	0	0	0	0	0
8045	16	62.8396	57.2456	2.83661	2.84368	0	0	0	0	0	0	0	0
8045	17	62.2796	58.404	3.22912	3.24005	0	0	0	0	0	0	0	0
8045	18	62.1317	67.217	3.00325	2.9588	0	0	0	0	0	0	0	0
8045	19	59.1066	63.5364	3.14452	3.11249	0	0	0	0	0	0	0	0
8045	20	68.3497	59.985	2.99482	3.01002	0	0	0	0	0	0	0	0
8045	21	68.398	62.7558	3.16995	3.13472	0	0	0	0	0	0	0	0
8045	22	72.0318	67.35	3.27847	3.2444	0	0	0	0	0	0	0	0
8045	23	61.1678	58.0327	2.94865	2.94237	0	0	0	0	0	0	0	0
8045	24	64.399	66.5513	3.15026	3.09397	0	0	0	0	0	0	0	0
8045	25	56.9822	59.7689	3.0296	3.00856	0	0	0	0	0	0	0	0
8045	26	60.9912	62.8505	2.89391	2.85922	0	0	0	0	0	0	0	0
8045	27	53.2935	54.664	3.06027	3.08607	0	0	0	0	0	0	0	0
8045	28	60.7875	62.3286	3.15638	3.14857	0	0	0	0	0	0	0	0
8045	29	59.419	56.1426	2.97276	2.99206	0	0	0	0	0	0	0	0
8045	30	60.6501	59.9004	2.8945	2.8752	0	0	0	0	0	0	0	0
8045	31	65.9087	65.8386	3.447	3.44032	0	0	0	0	0	0	0	0
8045	32	52.9198	48.7986	3.3717	3.4039	0	0	0	0	0	0	0	0
8045	33	60.8363	58.4214	3.057	3.09336	0	0	0	0	0	0	0	0
8045	34	55.5136	57.719	3.13431	3.14767	0	0	0	0	0	0	0	0
8045	35	60.8523	57.9006	2.98629	3.04575	0	0	0	0	0	0	0	0
8045	36	60.3141	58.1699	3.53757	3.57874	0	0	0	0	0	0	0	0
8045	37	60.9045	59.3612	3.03155	3.07643	0	0	0	0	0	0	0	0
8045	38	62.1813	56.0949	2.92571	2.99362	0	0	0	0	0	0	0	0
8045	39	56.4872	57.7254	3.19026	3.23749	0	0	0	0	0	0	0	0
8045	40	56.386	56.8355	2.96622	3.00891	0	0	0	0	0	0	0	0
8045	41	56.4596	56.8608	2.85575	2.8967	0	0	0	0	0	0	0	0
8045	42	65.7386	59.5937	3.06657	3.09191	0	0	0	0	0	0	0	0
8045	43	57.719	65.1745	2.85878	2.89689	0	0	0	0	0	0	0	0
8045	44	56.2233	56.4051	3.19058	3.21373	0	0	0	0	0	0	0	0
8045	45	57.2359	57.33	2.90162	2.92968	0	0	0	0	0	0	0	0
8045	46	54.1466	54.025	3.00464	3.03488	0	0	0	0	0	0	0	0
8045	47	55.1865	56.114	2.95094	2.96572	0	0	0	0	0	0	0	0
8045	48	54.4643	57.1028	3.4153	3.39644	0	0	0	0	0	0	0	0
8045	49	60.9535	60.2226	3.18731	3.16481	0	0	0	0	0	0	0	0
8045	50	64.2584	54.5737	3.10674	3.14764	0	0	0	0	0	0	0	0
8045	51	55.8797	62.577	3.26219	3.1981	0	0	0	0	0	0	0	0
8045	52	52.3265	59.8383	3.14266	3.13857	0	0	0	0	0	0	0	0
8045	53	62.8946	57.089	3.17226	3.16664	0	0	0	0	0	0	0	0
8045	54	57.1761	56.8202	3.05717	3.0697	0	0	0	0	0	0	0	0
8045	55	58.5587	60.6302	3.1436	3.10217	0	0	0	0	0	0	0	0
8045	56	60.6393	55.2979	3.12953	3.10427	0	0	0	0	0	0	0	0
8045	57	59.393	59.3557	3.31206	3.29102	0	0	0	0	0	0	0	0
8045	58	62.4907	50.1003	3.12327	3.11408	0	0	0	0	0	0	0	0
8045	59	61.8817	59.4644	3.32516	3.29593	0	0	0	0	0	0	0	0
8045	60	57.5191	53.6094	3.17376	3.18093	0	0	0	0	0	0	0	0
8045	61	52.048	53.2277	3.3519	3.32059	0	0	0	0	0	0	0	0
8045	62	58.2829	61.4718	3.31932	3.29086	0	0	0	0	0	0	0	0
8045	63	59.142	59.7739	3.50619	3.51614	0	0	0	0	0	0	0	0
8045	64	67.6541	70.412	2.37105	2.33692	0	0	0	0	0	0	0	0
8045	65	69.7292	69.4231	2.26734	2.28276	0	0	0	0	0	0	0	0
8045	66	71.5102	67.3072	2.42229	2.44435	0	0	0	0	0	0	0	0
8045	67	71.1224	73.7093	2.56154	2.51616	0	0	0	0	0	0	0	0
8045	68	74.535	76.8889	2.53184	2.51781	0	0	0	0	0	0	0	0
8045	69	72.2342	71.4525	2.279	2.29329	0	0	0	0	0	0	0	0
8045	70	72.9543	73.5161	2.23634	2.22436	0	0	0	0	0	0	0	0
8045	71	71.5724	68.1346	2.39429	2.41835	0	0	0	0	0	0	0	0
