GCUId	Chn	Mean_Ping_HG	Mean_Pong_HG	RMS_Ping_HG	RMS_Pong_HG	Mean_Ping_LG	Mean_Pong_LG	RMS_Ping_LG	RMS_Pong_LG	Length	x	y	z
8010	0	0	0	0	0	63.4798	72.4018	1.32214	1.30957	0	0	0	0
8010	1	0	0	0	0	62.9334	61.8116	1.32762	1.37464	0	0	0	0
8010	2	0	0	0	0	61.5886	56.3612	1.42661	1.31476	0	0	0	0
8010	3	0	0	0	0	65.0931	69.0241	1.35715	1.31905	0	0	0	0
8010	4	0	0	0	0	58.6494	62.217	1.33406	1.36818	0	0	0	0
8010	5	0	0	0	0	66.0311	65.2019	1.37376	1.37682	0	0	0	0
8010	6	0	0	0	0	67.4648	69.1366	1.30641	1.31964	0	0	0	0
8010	7	0	0	0	0	62.3631	61.237	1.38143	1.3696	0	0	0	0
8010	8	0	0	0	0	57.0641	59.9272	1.35825	1.30309	0	0	0	0
8010	9	0	0	0	0	61.2032	71.7728	1.40383	1.3076	0	0	0	0
8010	10	0	0	0	0	60.4086	59.7816	1.33254	1.33929	0	0	0	0
8010	11	0	0	0	0	61.6078	60.0781	1.43544	1.34705	0	0	0	0
8010	12	0	0	0	0	67.1778	54.562	1.2714	1.35639	0	0	0	0
8010	13	0	0	0	0	62.3449	60.6498	1.35514	1.32336	0	0	0	0
8010	14	0	0	0	0	64.9583	66.223	1.32474	1.34794	0	0	0	0
8010	15	0	0	0	0	61.7293	61.9493	1.36323	1.3536	0	0	0	0
8010	16	0	0	0	0	62.5039	60.7067	1.37409	1.2754	0	0	0	0
8010	17	0	0	0	0	68.2687	57.3232	1.21453	1.31644	0	0	0	0
8010	18	0	0	0	0	67.8	63.8857	1.21385	1.28174	0	0	0	0
8010	19	0	0	0	0	68.4603	69.882	1.25794	1.33057	0	0	0	0
8010	20	0	0	0	0	67.0012	67.3687	1.252	1.22474	0	0	0	0
8010	21	0	0	0	0	62.8555	66.5698	1.27385	1.33575	0	0	0	0
8010	22	0	0	0	0	62.7368	65.5313	1.28242	1.39419	0	0	0	0
8010	23	0	0	0	0	69.5737	55.4505	1.3016	1.21454	0	0	0	0
8010	24	0	0	0	0	69.9767	70.6409	1.28777	1.25784	0	0	0	0
8010	25	0	0	0	0	70.0504	61.5429	1.2953	1.33094	0	0	0	0
8010	26	0	0	0	0	70.822	66.93	1.32003	1.26765	0	0	0	0
8010	27	0	0	0	0	55.8982	65.1961	1.23233	1.33197	0	0	0	0
8010	28	0	0	0	0	63.3605	67.506	1.21828	1.29511	0	0	0	0
8010	29	0	0	0	0	64.4279	61.8318	1.29988	1.32795	0	0	0	0
8010	30	0	0	0	0	66.6935	62.2415	1.28091	1.30213	0	0	0	0
8010	31	0	0	0	0	66.0779	61.6499	1.3456	1.33971	0	0	0	0
8010	32	0	0	0	0	70.1234	73.4017	1.43596	1.43557	0	0	0	0
8010	33	0	0	0	0	77.3864	75.4383	1.35706	1.3032	0	0	0	0
8010	34	0	0	0	0	74.0692	75.6304	1.36701	1.36865	0	0	0	0
8010	35	0	0	0	0	80.597	77.185	1.33287	1.34471	0	0	0	0
8010	36	0	0	0	0	74.8251	75.5	1.38214	1.31357	0	0	0	0
8010	37	0	0	0	0	78.982	81.8129	1.37069	1.4159	0	0	0	0
8010	38	0	0	0	0	76.6092	74.4292	1.33011	1.38215	0	0	0	0
8010	39	0	0	0	0	76.8811	78.2301	1.33173	1.37342	0	0	0	0
8010	40	0	0	0	0	71.3772	73.285	1.30272	1.3676	0	0	0	0
8010	41	0	0	0	0	74.8831	76.4434	1.33256	1.36697	0	0	0	0
8010	42	0	0	0	0	78.5589	77.4582	1.34395	1.36733	0	0	0	0
8010	43	0	0	0	0	76.5733	75.6259	1.3064	1.31831	0	0	0	0
8010	44	0	0	0	0	76.4698	74.4868	1.2999	1.36281	0	0	0	0
8010	45	0	0	0	0	74.4985	75.3013	1.4158	1.32455	0	0	0	0
8010	46	0	0	0	0	74.5286	76.1342	1.35045	1.31163	0	0	0	0
8010	47	0	0	0	0	72.3202	78.7132	1.31453	1.32317	0	0	0	0
8010	48	0	0	0	0	65.4784	57.2031	1.30717	1.31803	0	0	0	0
8010	49	0	0	0	0	62.803	65.3649	1.30693	1.30011	0	0	0	0
8010	50	0	0	0	0	57.5817	65.3453	1.34765	1.32482	0	0	0	0
8010	51	0	0	0	0	64.7755	71.8924	1.28578	1.21692	0	0	0	0
8010	52	0	0	0	0	66.876	64.7504	1.25487	1.34161	0	0	0	0
8010	53	0	0	0	0	71.8666	73.8921	1.22786	1.33733	0	0	0	0
8010	54	0	0	0	0	75.465	61.6353	1.2687	1.33475	0	0	0	0
8010	55	0	0	0	0	66.902	62.6198	1.25873	1.29238	0	0	0	0
8010	56	0	0	0	0	62.7478	63.6521	1.29873	1.24678	0	0	0	0
8010	57	0	0	0	0	61.9146	71.2394	1.40696	1.25743	0	0	0	0
8010	58	0	0	0	0	69.146	68.0584	1.28527	1.21913	0	0	0	0
8010	59	0	0	0	0	60.9762	67.3855	1.34574	1.21672	0	0	0	0
8010	60	0	0	0	0	62.8863	59.7738	1.33018	1.25453	0	0	0	0
8010	61	0	0	0	0	67.9598	63.0436	1.28363	1.29333	0	0	0	0
8010	62	0	0	0	0	70.8865	65.2726	1.26588	1.3522	0	0	0	0
8010	63	0	0	0	0	62.5708	62.1866	1.31259	1.33906	0	0	0	0
8010	64	0	0	0	0	89.0325	88.1388	1.36866	1.32163	0	0	0	0
8010	65	0	0	0	0	82.8313	85.9885	1.39273	1.3014	0	0	0	0
8010	66	0	0	0	0	84.9123	81.4388	1.28574	1.35411	0	0	0	0
8010	67	0	0	0	0	81.9242	85.7839	1.37173	1.31176	0	0	0	0
8010	68	0	0	0	0	93.3469	88.3969	1.37062	1.2911	0	0	0	0
8010	69	0	0	0	0	84.9769	88.5624	1.26257	1.31789	0	0	0	0
8010	70	0	0	0	0	86.0178	91.0279	1.33001	1.30568	0	0	0	0
8010	71	0	0	0	0	84.7322	84.874	1.2552	1.26666	0	0	0	0
8010	72	0	0	0	0	92.695	90.2424	1.27544	1.343	0	0	0	0
8010	73	0	0	0	0	89.7077	88.3872	1.35277	1.34657	0	0	0	0
8010	74	0	0	0	0	86.6184	93.1941	1.26985	1.31667	0	0	0	0
8010	75	0	0	0	0	86.5434	87.9035	1.26558	1.27666	0	0	0	0
8010	76	0	0	0	0	83.3538	86.3656	1.30235	1.29193	0	0	0	0
8010	77	0	0	0	0	91.6429	86.7262	1.25963	1.27299	0	0	0	0
8010	78	0	0	0	0	85.3529	83.4762	1.27418	1.26275	0	0	0	0
8010	79	0	0	0	0	81.0179	77.2828	1.33925	1.33131	0	0	0	0
8010	80	0	0	0	0	86.4645	83.9384	1.43479	1.50996	0	0	0	0
8010	81	0	0	0	0	87.3998	86.52	1.22283	1.236	0	0	0	0
8010	82	0	0	0	0	82.6046	83.9173	1.36259	1.28252	0	0	0	0
