GCUId	Chn	Mean_Ping_HG	Mean_Pong_HG	RMS_Ping_HG	RMS_Pong_HG	Mean_Ping_LG	Mean_Pong_LG	RMS_Ping_LG	RMS_Pong_LG	Length	x	y	z
8001	0	0	0	0	0	73.9023	70.7688	1.33292	1.29915	10	-18284.2	-373.653	6425.66
8001	1	0	0	0	0	82.2578	67.8725	1.29995	1.22687	10	-18033	460.689	7095
8001	2	0	0	0	0	75.872	73.3901	1.31784	1.33891	10	-18717.7	-1290.88	4870.42
8001	3	0	0	0	0	70.5168	72.0136	1.3019	1.26202	10	-18576	-1549.03	5317.27
8001	4	0	0	0	0	78.4849	75.5637	1.2951	1.22731	10	-18140.8	-1486	6666.62
8001	5	0	0	0	0	80.7982	77.861	1.33322	1.29512	10	-17751.3	3208.01	7095
8001	6	0	0	0	0	69.428	75.789	1.32136	1.31518	10	-18055	5102.52	4870.42
8001	7	0	0	0	0	77.9071	79.4615	1.34939	1.20829	10	-17940.8	5349.31	5025.23
8001	8	0	0	0	0	76.6393	76.57	1.29043	1.25486	10	-18419.3	-658.917	6002.8
8001	9	0	0	0	0	73.9078	73.1278	1.38469	1.33538	10	-17947.8	-917.873	7264.63
8001	10	0	0	0	0	73.1446	72.8797	1.33822	1.31533	10	-18124.2	5122.09	4584.33
8001	11	0	0	0	0	74.3385	73.4177	1.30464	1.34341	10	-17902.4	4382.72	6002.8
8001	12	0	0	0	0	77.0156	76.6213	1.30813	1.29478	10	-18226.9	-1493.06	6425.66
8001	13	0	0	0	0	71.1159	69.9717	1.25109	1.34746	10	-17970.3	183.349	7264.63
8001	14	0	0	0	0	80.7803	75.745	1.29368	1.26772	10	-18789.5	-1295.83	4584.33
8001	15	0	0	0	0	71.0671	73.1082	1.31625	1.35604	10	-17896.5	5057.73	5465.76
8001	16	0	0	0	0	65.6102	63.9213	1.36065	1.23566	10	-18595.9	4401.05	3249.89
8001	17	0	0	0	0	66.3343	65.2662	1.35025	1.31407	10	-19135	-1319.66	2802.04
