GCUId	Chn	Mean_Ping	Mean_Pong	RMS_Ping	RMS_Pong	Length	x	y	z
8151	72	73.7362	72.6088	2.3745	2.41489	10	-18507.1	-212.396	5760.47
8151	73	69.3904	73.9144	2.43029	2.45936	10	-18582.4	-746.791	5465.76
8151	74	68.8473	72.5766	2.37187	2.39877	10	-18634.2	-481.159	5317.27
8151	75	69.7823	69.9767	4.83876	4.85338	10	-18536.6	-2623.23	5025.23
8151	76	68.5502	64.98	2.43629	2.44801	10	-18612.8	-1015.51	5317.27
8151	77	71.3497	73.048	2.60324	2.62135	10	-18656.5	-1555.85	5025.23
8151	78	68.2288	74.62	2.47962	2.46642	10	-18092.7	-3900.01	5760.47
8151	79	72.0608	71.8232	2.3988	2.43589	10	-18179.9	-3918.8	5465.76
8151	80	55.7464	54.4344	4.20548	4.26989	10	-17423.7	-5028.28	6846.23
8151	81	57.9713	60.7806	3.12543	3.11892	10	-16873.4	-4590.56	8363.94
8151	82	60.117	64.1789	3.34633	3.3997	10	-18324.5	1030.76	6236.22
8151	83	55.4785	58.8329	2.85769	2.83204	10	-17563.1	-4778.22	6666.62
8151	84	63.8695	56.2029	2.97075	3.01117	10	-17781.5	-4546.15	6236.22
8151	85	57.4856	56.8937	2.72315	2.74056	10	-18347.5	468.724	6236.22
8151	86	54.3489	56.5402	2.97554	2.97637	10	-17956.2	733.96	7264.63
8151	87	59.3996	59.6607	2.67744	2.69924	10	-16988.2	-4902.61	7943.8
8151	88	53.0139	54.571	2.75002	2.74038	10	-18106.1	1018.48	6846.23
8151	89	53.2353	55.022	2.62539	2.63516	10	-17408.5	-5314.2	6666.62
8151	90	57.9931	56.5326	2.78215	2.81623	10	-17708.4	-5110.46	6002.8
8151	91	53.5	51.622	2.71164	2.72755	10	-16846	-5142.5	8093.58
8151	92	55.6984	59.1629	2.62178	2.63149	10	-18128.8	463.138	6846.23
8151	93	58.0178	59.2753	2.61641	2.60772	10	-17646.6	-4800.92	6425.66
8151	94	59.8965	61.4969	2.65295	2.6699	10	-17633.8	-5088.93	6236.22
8151	95	58.3842	56.8621	2.80944	2.83812	10	-17653.6	993.022	7943.8
8151	96	76.737	71.4807	2.26775	2.27759	5	-17811.8	-3407.21	6846.23
8151	97	76.9462	76.724	2.27193	2.26816	5	-18177.8	-929.379	6666.62
8151	98	78.9526	75.2889	2.2382	2.24023	5	-17967.5	-367.435	7264.63
8151	99	75.4602	75.7413	2.29131	2.28729	5	-17999.1	-1197.04	7095
8151	100	77.5876	77.8171	2.25833	2.25386	5	-18027.3	-644.894	7095
8151	101	79.5419	85.1266	2.28698	2.27363	5	-17907.5	-3710.86	6425.66
8151	102	81.1103	81.601	2.2761	2.26215	5	-17477.3	-4184.38	7264.63
8151	103	75.5399	76.3211	2.28097	2.26499	5	-18038.6	-92.1454	7095
8151	104	74.2743	75.5938	2.27851	2.26518	5	-18094.8	-1203.4	6846.23
8151	105	81.654	79.7901	2.21319	2.19912	5	-17987.1	-2309.64	6846.23
8151	106	78.5302	82.1027	2.36466	2.33315	5	-17597.3	-3646.83	7264.63
8151	107	76.3908	80.0737	2.36333	2.32626	5	-17911.2	-1467.45	7264.63
8151	108	71.1269	74.8116	2.28354	2.28143	5	-18134.5	-92.6352	6846.23
8151	109	75.8181	78.5857	2.42802	2.41255	5	-17701.3	-4237.76	6666.62
8151	110	75.6433	75.2371	2.3007	2.29768	5	-17787.7	-2561.95	7264.63
8151	111	77.0613	77.6591	2.29379	2.27611	5	-17892	-2297.43	7095
8151	112	79.4435	77.1849	2.46146	2.49263	5	-18313	-1217.91	6236.22
8151	113	78.8053	79.4905	2.44311	2.43817	5	-18353.2	-93.7524	6236.22
8151	114	81.4647	78.2282	2.49688	2.50608	5	-18464.4	-1273.41	5760.47
8151	115	80.6498	81.5483	2.41116	2.40357	5	-18200.5	-2906.5	6002.8
8151	116	79.0081	78.3409	2.45111	2.4599	5	-18204	-2337.5	6236.22
8151	117	76.2641	76.9246	2.47353	2.48848	5	-17912.5	-3999.1	6236.22
8151	118	83.4152	84.4707	2.44457	2.42639	5	-18197.1	-3379.39	5760.47
8151	119	79.0782	73.4279	2.46209	2.49655	5	-18493.4	-743.211	5760.47
8151	120	75.9263	79.6163	2.51417	2.52883	5	-18026.6	-3448.3	6236.22
8151	121	81.7179	81.3267	2.44919	2.45659	5	-18264.1	-933.793	6425.66
8151	122	72.5989	74.798	2.54611	2.57132	5	-18553.4	-1279.55	5465.76
8151	123	77.3794	78.1708	2.43324	2.44426	5	-17988.3	-4016.03	6002.8
8151	124	75.868	73.6508	2.52372	2.52804	5	-18341.7	-656.14	6236.22
8151	125	78.5494	79.4938	2.46346	2.45304	5	-18101.2	-2606.85	6425.66
8151	126	81.1956	79.0294	2.48372	2.51293	5	-18286.6	-2855.99	5760.47
8151	127	80.264	80.5183	2.45118	2.44553	5	-18390.5	-1223.07	6002.8
8180	0	66.2878	67.0784	2.1666	2.17579	10	-1632.67	18215	6425.66
8180	1	71.0984	68.8303	2.32037	2.35324	10	1987.7	18025.5	6846.23
8180	2	72.7081	75.6979	2.14176	2.15246	10	-347.492	18637.2	5317.27
8180	3	68.6639	69.9473	2.48999	2.48242	10	329.514	18428.2	6002.8
8180	4	74.4534	69.3893	2.41369	2.39137	10	1717.55	18120.3	6666.62
8180	5	65.626	70.2066	2.28705	2.25187	10	-1068.64	18170.1	6666.62
8180	6	64.5869	66.876	2.33173	2.30178	10	453.488	18591.9	5465.76
8180	7	67.214	65.5796	2.09621	2.09951	10	-613.49	18587.3	5465.76
8180	8	69.9049	66.0325	2.13528	2.18043	10	-1073.71	18256.4	6425.66
8180	9	70.0101	65.9022	2.40125	2.43153	10	1426.8	17982.3	7095
8180	10	64.3846	66.7027	2.26657	2.24821	10	-618.924	18751.9	4870.42
8180	11	65.8059	66.1179	2.17772	2.17983	10	-796.662	18336.1	6236.22
8180	12	68.1483	69.7633	2.59877	2.57311	10	607.121	18277.9	6425.66
8180	13	67.8561	68.9587	2.38874	2.40683	10	-783.006	18021.9	7095
8180	14	65.1106	71.0781	2.0916	2.06014	10	-881.983	18619.6	5317.27
8180	15	65.5601	67.0493	2.47034	2.4541	10	-1363.94	18380.6	6002.8
8180	16	68.945	78.0809	2.42567	2.49271	10	-7293.94	17662.8	3249.89
8180	17	67.094	67.5567	2.46197	2.44586	10	-6300.53	18142.9	2622.4
8180	18	62.4126	63.1457	2.65855	2.67991	10	-893.075	18851.4	4423.35
8180	19	67.868	68.5598	2.62713	2.62515	10	-901.983	19039.4	3524.99
8180	20	67.166	63.7331	2.37087	2.37363	10	-1451.49	19054.4	3249.89
8180	21	66.6381	66.0601	2.53082	2.53367	10	-908.845	19184.3	2622.4
8180	22	68.8422	70.912	2.35098	2.30281	10	-1161.03	18798.3	4584.33
8180	23	69.6663	67.7047	2.46783	2.48197	10	-904.293	19088.2	3249.89
8180	24	67.3261	66.9189	2.29987	2.2893	10	-7065.89	17831.5	2802.04
8180	25	66.6116	62.6049	2.40946	2.44595	10	-6551.47	18026.8	2802.04
8180	26	66.7615	66.1077	2.31182	2.29304	10	-6989.16	17637.8	3974.75
8180	27	68.9144	62.9302	2.3025	2.33974	10	-7275.3	17617.7	3524.99
8180	28	66.4615	72.3708	2.46616	2.44913	10	-7050.46	17792.5	3075.24
8180	29	64.8715	65.6505	2.32578	2.32764	10	-6818.39	17954.7	2622.4
8180	30	59.0317	61.1355	2.3318	2.35042	10	-1169.54	18936	3974.75
8180	31	55.627	68.6342	2.22798	2.23276	10	-6766.92	17819.2	3524.99
8180	32	83.0446	79.0478	2.57241	2.59744	5	-5922.74	17878.6	4584.33
8180	33	80.706	82.7853	2.41903	2.41428	5	-4347.22	18251.6	4870.42
8180	34	95.9242	83.1586	2.62791	2.55459	5	-3056.19	18688.2	4141.1
8180	35	78.6392	86.6326	2.41039	2.36927	5	-3578.9	18530.1	4423.35
8180	36	83.1506	82.8798	2.54918	2.53424	5	-5158.59	18153.9	4423.35
8180	37	76.6391	86.8925	2.4697	2.43519	5	-1433.49	18818	4423.35
