GCUId	Chn	Mean_Ping	Mean_Pong	RMS_Ping	RMS_Pong	Length	x	y	z
8045	86	77.4432	80.8378	2.41093	2.40672	10	-16907	-8906.81	3249.89
8045	87	76.0018	80.6076	2.36861	2.30821	10	-18921.1	-2677.64	3249.89
8045	88	79.7027	78.5482	2.32791	2.33698	10	-18909.3	-2953.24	3075.24
8045	89	77.4338	71.1477	2.30326	2.31088	10	-18858	-3502.11	2802.04
8045	90	77.8551	71.7812	2.40499	2.39644	10	-18830.7	-3777.26	2622.4
8045	91	76.4367	73.3304	2.27568	2.26768	10	-16863.8	-8884.05	3524.99
8045	92	78.3496	71.929	2.28663	2.29077	10	-18816.8	-3494.46	3075.24
8045	93	80.0305	79.8163	2.25664	2.2378	10	-18749.8	-4041.64	2802.04
8045	94	76.6254	79.4364	2.34376	2.32767	10	-18583.1	-4850.97	2622.4
8045	95	78.4342	76.2786	2.33867	2.3303	10	-18688.5	-3748.74	3524.99
8045	96	74.8989	72.4211	2.25655	2.23621	5	-18504	-3711.72	4423.35
8045	97	74.9928	79.1786	2.321	2.28788	5	-18566.6	-3724.29	4141.1
8045	98	82.9135	74.6498	2.18935	2.25887	5	-17459.3	-7063.73	4584.33
8045	99	78.3726	75.3529	2.27945	2.28972	5	-17391.6	-7328.38	4423.35
8045	100	82.956	80.1412	2.31706	2.30639	5	-16942.7	-8313.72	4423.35
8045	101	79.6485	85.385	2.28108	2.25139	5	-18452.2	-4255.37	4141.1
8045	102	75.7341	74.6633	2.28335	2.26064	5	-18340.9	-3953.51	4870.42
8045	103	80.0931	76.2098	2.28257	2.26478	5	-18260.6	-4766.8	4423.35
8045	104	78.2635	80.5976	2.29513	2.27521	5	-18322.5	-4782.95	4141.1
8045	105	81.315	81.4707	2.29994	2.28182	5	-17000.1	-8341.88	4141.1
8045	106	73.2542	79.9395	2.2432	2.21196	5	-17249.5	-7561.67	4584.33
8045	107	77.6137	74.7323	2.26535	2.26929	5	-18289.8	-4495.19	4584.33
8045	108	79.0527	76.7034	2.32421	2.31946	5	-17654.3	-6849.59	4141.1
8045	109	80.4166	81.531	2.26308	2.27854	5	-18177.8	-5306.59	4141.1
8045	110	79.8583	86.4402	2.26932	2.24833	5	-18153.3	-5018.01	4584.33
8045	111	79.7343	71.3033	2.29443	2.32082	5	-17025.5	-8053.38	4584.33
8045	112	79.6625	81.0196	2.24509	2.26764	5	-17836.8	-6627.62	3696.36
8045	113	77.6628	77.1373	2.26037	2.28191	5	-17427.3	-7639.63	3696.36
8045	114	77.1763	79.076	2.28868	2.27398	5	-17940.1	-6666	3075.24
8045	115	75.9637	70.6834	2.21167	2.21106	5	-18585.4	-4567.84	3075.24
8045	116	72.6716	76.833	2.24613	2.2336	5	-18478.4	-4541.54	3696.36
8045	117	69.6959	70.9384	2.22731	2.21429	5	-18601.1	-4009.59	3696.36
8045	118	69.7306	75.8769	2.35324	2.32895	5	-17528.3	-7683.88	3075.24
8045	119	74.6195	73.6933	2.2372	2.24516	5	-18446.7	-5099.11	3075.24
8045	120	76.9435	81.6446	2.30491	2.29067	5	-18442.8	-4814.34	3524.99
8045	121	72.3551	75.8196	2.23436	2.23082	5	-17150.2	-8112.39	3974.75
8045	122	71.7899	70.1846	2.40657	2.41425	5	-18097.3	-6430.5	2622.4
8045	123	78.1162	75.2239	2.23089	2.21809	5	-18297.1	-5341.42	3524.99
8045	124	78.1622	75.726	2.19534	2.19045	5	-18573.3	-4283.3	3524.99
8045	125	77.134	79.8889	2.20374	2.20306	5	-17587.2	-7115.49	3974.75
8045	126	76.8487	69.2799	2.27672	2.29652	5	-17780.3	-7193.61	2802.04
8045	127	69.4815	70.9561	2.34291	2.34721	5	-18490	-4826.68	3249.89
8187	0	62.2226	55.3646	2.72956	2.71729	10	11348.3	-9291.93	12673.4
8187	1	65.5916	63.9599	3.87161	3.81335	10	11924.2	-8239.53	12871
8187	2	68.4715	64.3754	2.73791	2.76849	10	12607.4	-8884.44	11741.4
8187	3	64.4183	63.0068	3.11665	3.13291	10	12684.5	-7947.42	12315.9
8187	4	71.6882	70.3207	3.07603	3.10148	10	12286.4	-8010.49	12673.4
8187	5	71.1728	73.0449	3.80005	3.82219	10	11589.3	-8704.18	12871
8187	6	70.231	66.0738	3.12391	3.21681	10	12838	-8043.56	12092.4
8187	7	73.4347	66.438	2.96117	2.95306	10	12224.1	-8948.96	12092.4
8187	8	65.1115	57.3082	2.92783	2.89988	10	11501.8	-9417.55	12440.2
8187	9	63.0534	64.1574	4.41462	4.40648	10	11465.6	-8611.21	13043.3
8187	10	68.1616	66.0231	2.79995	2.8542	10	13293.1	-8328.73	11387
8187	11	66.393	61.4145	2.70826	2.71987	10	11834.3	-8996.17	12440.2
8187	12	65.7539	66.6567	2.85778	2.85783	10	12151.3	-8563.06	12440.2
8187	13	65.7359	64.7079	4.15622	4.14429	10	11236.4	-9155.24	12871
8187	14	63.404	63.7444	2.86604	2.87148	10	13169.9	-8251.55	11584.6
8187	15	70.1719	73.7108	2.76914	2.80077	10	12389.3	-8400.18	12315.9
8187	16	63.7296	62.2714	2.39645	2.44581	10	14623.9	-9207.4	8780.99
8187	17	68.1977	63.9687	2.43191	2.46398	10	15047.2	-9155	8093.58
8187	18	57.7345	64.7825	2.53897	2.5263	10	13734.1	-8702.34	10555
8187	19	67.5815	62.5306	2.83339	2.88289	10	10402.9	-13387.4	9396.62
8187	20	64.7516	65.0531	2.65746	2.63946	10	10753.9	-13378.9	9005.55
8187	21	69.2142	65.5476	2.55909	2.57434	10	14458.1	-10059.6	8093.58
8187	22	61.8636	64.297	2.50401	2.51137	10	13245.9	-8636.02	11211.8
8187	23	55.806	56.8157	2.43257	2.44844	10	10680.7	-13287.8	9224.85
8187	24	69.7736	68.6838	2.55423	2.51919	10	14448.8	-9727.97	8505.13
8187	25	62.5553	62.1918	2.55123	2.57348	10	14740.2	-9280.62	8505.13
8187	26	58.2879	63.5148	2.54434	2.54629	10	10393.8	-12930.9	10025.1
8187	27	67.4992	63.5149	2.47335	2.4833	10	10483.2	-13042.2	9784.81
8187	28	60.2164	52.97	2.4798	2.54111	10	11164.3	-13190.6	8780.99
8187	29	60.8224	56.5179	2.51968	2.56597	10	11984.9	-12907.2	8093.58
8187	30	57.7917	57.98	2.37933	2.40072	10	14082.6	-8601.88	10169.9
8187	31	66.4725	61.758	3.01084	3.0592	10	10837.6	-13038	9396.62
8187	32	66.8445	65.5645	3.01755	2.99831	5	10448.5	-12569.9	10419.5
8187	33	64.2406	66.9617	2.68583	2.67408	5	12809.8	-10013.2	10555
8187	34	69.1215	62.7586	2.80242	2.80174	5	10813.4	-12582	10025.1
8187	35	67.0048	65.0592	2.70629	2.71631	5	11360	-11969.2	10169.9
8187	36	63.7355	62.3637	2.84624	2.88761	5	13070.8	-10217.2	10025.1
8187	37	61.3463	62.7716	2.55278	2.54758	5	14013.9	-8879.66	10025.1
8187	38	66.1774	66.9127	2.76006	2.76123	5	10997.7	-11975.9	10553.1
8187	39	59.356	64.0282	2.44559	2.44832	5	11385.6	-11607.7	10553.1
8187	40	59.557	66.4598	2.86748	2.831	5	13166.5	-9947.56	10169.9
8187	41	57.0049	58.2509	2.62843	2.61311	5	10960.2	-12336.4	10169.9
8187	42	57.5895	65.0881	2.93042	2.89541	5	12000.5	-11455.4	10025.1
8187	43	58.0403	60.4673	2.56908	2.5872	5	12473.5	-10429.1	10554.9
8187	44	64.2685	63.564	3.15904	3.16732	5	10856.3	-12219.4	10419.5
8187	45	61.5356	65.4883	2.48609	2.47346	5	12727.7	-10641.6	10025.1
8187	46	55.5375	64.7598	2.91678	2.89458	5	13714.3	-9335.78	10025.1
